account_id,segment,effective_date,trigger_reason
ACC-000000,Enterprise,2024-03-26,initial_firmographic
ACC-000001,Enterprise,2021-06-06,initial_firmographic
ACC-000002,Enterprise,2025-10-06,initial_firmographic
ACC-000003,Enterprise,2024-01-20,initial_firmographic
ACC-000004,Enterprise,2025-10-15,initial_firmographic
ACC-000005,Enterprise,2023-11-16,initial_firmographic
ACC-000006,Enterprise,2024-12-21,initial_firmographic
ACC-000007,Enterprise,2024-08-23,initial_firmographic
ACC-000008,Enterprise,2024-03-22,initial_firmographic
ACC-000009,Enterprise,2021-09-20,initial_firmographic
ACC-000010,Enterprise,2020-12-28,initial_firmographic
ACC-000011,Enterprise,2022-02-28,initial_firmographic
ACC-000012,Enterprise,2023-03-06,initial_firmographic
ACC-000013,Enterprise,2025-01-09,initial_firmographic
ACC-000014,Enterprise,2024-10-16,initial_firmographic
ACC-000015,Enterprise,2024-05-13,initial_firmographic
ACC-000016,Enterprise,2025-11-19,initial_firmographic
ACC-000017,Enterprise,2021-03-20,initial_firmographic
ACC-000018,Enterprise,2024-11-17,initial_firmographic
ACC-000019,Enterprise,2023-02-05,initial_firmographic
ACC-000020,Enterprise,2020-11-16,initial_firmographic
ACC-000021,Enterprise,2024-05-25,initial_firmographic
ACC-000022,Enterprise,2021-06-03,initial_firmographic
ACC-000023,Enterprise,2024-04-06,initial_firmographic
ACC-000024,Enterprise,2024-07-20,initial_firmographic
ACC-000025,Enterprise,2024-04-05,initial_firmographic
ACC-000026,Enterprise,2024-07-25,initial_firmographic
ACC-000027,Enterprise,2024-11-05,initial_firmographic
ACC-000028,Enterprise,2022-09-17,initial_firmographic
ACC-000029,Enterprise,2024-10-18,initial_firmographic
ACC-000030,Enterprise,2023-09-06,initial_firmographic
ACC-000031,Enterprise,2023-08-23,initial_firmographic
ACC-000032,Enterprise,2025-01-20,initial_firmographic
ACC-000033,Enterprise,2020-12-03,initial_firmographic
ACC-000034,Enterprise,2024-03-09,initial_firmographic
ACC-000035,Enterprise,2024-04-06,initial_firmographic
ACC-000036,Enterprise,2025-08-04,initial_firmographic
ACC-000037,Enterprise,2024-05-25,initial_firmographic
ACC-000038,Enterprise,2022-06-08,initial_firmographic
ACC-000039,Enterprise,2022-02-04,initial_firmographic
ACC-000040,Enterprise,2023-11-03,initial_firmographic
ACC-000041,Enterprise,2022-08-19,initial_firmographic
ACC-000042,Enterprise,2022-05-12,initial_firmographic
ACC-000043,Enterprise,2025-08-17,initial_firmographic
ACC-000044,Enterprise,2025-10-18,initial_firmographic
ACC-000045,Enterprise,2025-04-06,initial_firmographic
ACC-000046,Enterprise,2025-11-15,initial_firmographic
ACC-000047,Enterprise,2024-10-12,initial_firmographic
ACC-000048,Enterprise,2024-04-18,initial_firmographic
ACC-000049,Enterprise,2025-08-14,initial_firmographic
ACC-000050,Enterprise,2024-03-25,initial_firmographic
ACC-000051,Enterprise,2023-11-21,initial_firmographic
