account_id,company_id,segment,employee_count_band,industry,region,channel,signup_date,icp_fit_score,is_personal_email_domain
ACC-000000,CO-0077328,Enterprise,5001-20000,Logistics/Supply Chain,North America,self_serve,2024-03-26,80.1,False
ACC-000001,CO-0073549,Enterprise,5001-20000,Retail/E-commerce,North America,inbound_marketing,2021-06-06,79.7,False
ACC-000002,CO-0030636,Enterprise,1001-5000,Financial Services,APAC,inbound_marketing,2025-10-06,88.8,False
ACC-000003,CO-0058168,Enterprise,5001-20000,Technology/SaaS,North America,inbound_marketing,2024-01-20,85.5,False
ACC-000004,CO-0038732,Enterprise,1001-5000,Financial Services,North America,inbound_marketing,2025-10-15,72.9,False
ACC-000005,CO-0027628,Enterprise,1001-5000,Financial Services,EMEA,inbound_marketing,2023-11-16,82.5,False
ACC-000006,CO-0101689,Enterprise,20000+,Professional Services,North America,self_serve,2024-12-21,78.3,False
ACC-000007,CO-0051946,Enterprise,1001-5000,Healthcare,North America,inbound_marketing,2024-08-23,74.9,False
ACC-000008,CO-0000088,Enterprise,1001-5000,Technology/SaaS,APAC,outbound_sdr,2024-03-22,77.3,False
ACC-000009,CO-0109338,Enterprise,5001-20000,Technology/SaaS,EMEA,inbound_marketing,2021-09-20,80.6,False
ACC-000010,CO-0119515,Enterprise,5001-20000,Healthcare,North America,self_serve,2020-12-28,87.2,False
ACC-000011,CO-0120915,Enterprise,5001-20000,Technology/SaaS,EMEA,outbound_sdr,2022-02-28,81.4,False
ACC-000012,CO-0032791,Enterprise,5001-20000,Financial Services,APAC,self_serve,2023-03-06,82.3,False
ACC-000013,CO-0026591,Enterprise,20000+,Logistics/Supply Chain,APAC,inbound_marketing,2025-01-09,74.7,False
ACC-000014,CO-0043122,Enterprise,5001-20000,Technology/SaaS,North America,inbound_marketing,2024-10-16,84.9,False
ACC-000015,CO-0030322,Enterprise,5001-20000,Financial Services,North America,outbound_sdr,2024-05-13,80.5,False
ACC-000016,CO-0122680,Enterprise,1001-5000,Financial Services,EMEA,self_serve,2025-11-19,76.5,False
ACC-000017,CO-0104864,Enterprise,1001-5000,Logistics/Supply Chain,North America,self_serve,2021-03-20,76.9,False
ACC-000018,CO-0059368,Enterprise,5001-20000,Technology/SaaS,North America,self_serve,2024-11-17,78.8,False
ACC-000019,CO-0017746,Enterprise,5001-20000,Healthcare,North America,inbound_marketing,2023-02-05,92.3,False
ACC-000020,CO-0082862,Enterprise,20000+,Manufacturing,EMEA,inbound_marketing,2020-11-16,81.0,False
ACC-000021,CO-0036853,Enterprise,20000+,Healthcare,North America,inbound_marketing,2024-05-25,85.2,False
ACC-000022,CO-0016172,Enterprise,20000+,Financial Services,North America,outbound_sdr,2021-06-03,92.1,False
ACC-000023,CO-0080955,Enterprise,1001-5000,Financial Services,North America,inbound_marketing,2024-04-06,74.5,False
ACC-000024,CO-0021161,Enterprise,5001-20000,Technology/SaaS,North America,inbound_marketing,2024-07-20,90.8,False
ACC-000025,CO-0021374,Enterprise,20000+,Financial Services,North America,self_serve,2024-04-05,97.4,False
ACC-000026,CO-0106636,Enterprise,20000+,Financial Services,North America,inbound_marketing,2024-07-25,88.4,False
ACC-000027,CO-0013349,Enterprise,5001-20000,Financial Services,EMEA,inbound_marketing,2024-11-05,86.3,False
ACC-000028,CO-0117414,Enterprise,5001-20000,Financial Services,North America,self_serve,2022-09-17,85.7,False
ACC-000029,CO-0018863,Enterprise,1001-5000,Financial Services,APAC,self_serve,2024-10-18,77.0,False
ACC-000030,CO-0113891,Enterprise,5001-20000,Healthcare,North America,inbound_marketing,2023-09-06,89.4,False
ACC-000031,CO-0091581,Enterprise,5001-20000,Financial Services,EMEA,outbound_sdr,2023-08-23,81.6,False
ACC-000032,CO-0112579,Enterprise,5001-20000,Manufacturing,EMEA,outbound_sdr,2025-01-20,72.8,False
ACC-000033,CO-0059952,Enterprise,5001-20000,Financial Services,North America,self_serve,2020-12-03,82.5,False
ACC-000034,CO-0024377,Enterprise,20000+,Logistics/Supply Chain,EMEA,self_serve,2024-03-09,80.1,False
ACC-000035,CO-0031845,Enterprise,20000+,Manufacturing,North America,self_serve,2024-04-06,84.9,False
ACC-000036,CO-0110433,Enterprise,5001-20000,Logistics/Supply Chain,EMEA,inbound_marketing,2025-08-04,85.8,False
ACC-000037,CO-0087620,Enterprise,20000+,Financial Services,LATAM,inbound_marketing,2024-05-25,79.7,False
ACC-000038,CO-0105280,Enterprise,1001-5000,Public Sector,North America,outbound_sdr,2022-06-08,78.3,False
ACC-000039,CO-0108657,Enterprise,5001-20000,Healthcare,APAC,outbound_sdr,2022-02-04,85.6,False
ACC-000040,CO-0050487,Enterprise,5001-20000,Technology/SaaS,APAC,outbound_sdr,2023-11-03,84.4,False
ACC-000041,CO-0091773,Enterprise,1001-5000,Financial Services,APAC,inbound_marketing,2022-08-19,84.6,False
ACC-000042,CO-0043667,Enterprise,5001-20000,Healthcare,EMEA,inbound_marketing,2022-05-12,76.6,False
ACC-000043,CO-0107290,Enterprise,5001-20000,Financial Services,North America,inbound_marketing,2025-08-17,89.5,False
ACC-000044,CO-0117571,Enterprise,5001-20000,Professional Services,North America,inbound_marketing,2025-10-18,81.0,False
ACC-000045,CO-0103738,Enterprise,20000+,Manufacturing,North America,outbound_sdr,2025-04-06,73.6,False
ACC-000046,CO-0004886,Enterprise,5001-20000,Healthcare,North America,inbound_marketing,2025-11-15,90.2,False
ACC-000047,CO-0078300,Enterprise,1001-5000,Financial Services,EMEA,inbound_marketing,2024-10-12,79.6,False
ACC-000048,CO-0016018,Enterprise,5001-20000,Financial Services,North America,inbound_marketing,2024-04-18,77.8,False
ACC-000049,CO-0069537,Enterprise,20000+,Financial Services,EMEA,outbound_sdr,2025-08-14,87.4,False
ACC-000050,CO-0066190,Enterprise,5001-20000,Manufacturing,EMEA,inbound_marketing,2024-03-25,82.3,False
ACC-000051,CO-0120434,Enterprise,1001-5000,Public Sector,North America,outbound_sdr,2023-11-21,82.1,False
ACC-000052,CO-0062446,Enterprise,5001-20000,Technology/SaaS,North America,inbound_marketing,2025-06-17,84.2,False
ACC-000053,CO-0019121,Enterprise,20000+,Manufacturing,North America,self_serve,2025-07-06,83.2,False
ACC-000054,CO-0029253,Enterprise,5001-20000,Healthcare,APAC,inbound_marketing,2025-10-16,79.4,False
ACC-000055,CO-0098543,Enterprise,5001-20000,Financial Services,North America,self_serve,2023-02-15,78.9,False
ACC-000056,CO-0049012,Enterprise,1001-5000,Healthcare,North America,self_serve,2025-11-03,73.1,False
ACC-000057,CO-0009606,Enterprise,1001-5000,Manufacturing,EMEA,outbound_sdr,2023-04-08,72.5,False
ACC-000058,CO-0060222,Enterprise,201-1000,Financial Services,North America,self_serve,2022-09-21,78.0,False
ACC-000059,CO-0113359,Enterprise,20000+,Healthcare,North America,inbound_marketing,2024-04-08,83.7,False
ACC-000060,CO-0095071,Enterprise,20000+,Professional Services,APAC,self_serve,2025-08-09,79.7,False
ACC-000061,CO-0024793,Enterprise,5001-20000,Public Sector,EMEA,outbound_sdr,2023-05-06,83.6,False
ACC-000062,CO-0109592,Enterprise,5001-20000,Healthcare,North America,inbound_marketing,2023-08-21,87.7,False
ACC-000063,CO-0093244,Enterprise,5001-20000,Retail/E-commerce,EMEA,self_serve,2025-04-08,78.4,False
ACC-000064,CO-0033041,Enterprise,1001-5000,Technology/SaaS,North America,inbound_marketing,2024-05-12,80.3,False
ACC-000065,CO-0120900,Enterprise,1001-5000,Technology/SaaS,North America,inbound_marketing,2024-11-27,86.1,False
ACC-000066,CO-0023424,Enterprise,5001-20000,Financial Services,North America,self_serve,2024-07-08,94.1,False
ACC-000067,CO-0082042,Enterprise,1001-5000,Technology/SaaS,EMEA,self_serve,2021-09-07,78.1,False
ACC-000068,CO-0064100,Enterprise,5001-20000,Public Sector,North America,self_serve,2025-11-01,86.5,False
ACC-000069,CO-0111646,Enterprise,5001-20000,Healthcare,North America,outbound_sdr,2024-06-10,83.4,False
ACC-000070,CO-0044289,Enterprise,5001-20000,Professional Services,North America,inbound_marketing,2025-09-06,73.6,False
ACC-000071,CO-0004334,Enterprise,5001-20000,Financial Services,North America,inbound_marketing,2025-11-08,80.9,False
ACC-000072,CO-0058750,Enterprise,20000+,Logistics/Supply Chain,APAC,self_serve,2025-08-13,82.5,False
ACC-000073,CO-0107520,Enterprise,5001-20000,Professional Services,North America,inbound_marketing,2020-10-23,84.4,False
ACC-000074,CO-0009008,Enterprise,5001-20000,Technology/SaaS,EMEA,inbound_marketing,2024-04-21,72.4,False
ACC-000075,CO-0091561,Enterprise,5001-20000,Media/Entertainment,North America,outbound_sdr,2025-04-04,74.4,False
ACC-000076,CO-0020341,Enterprise,20000+,Public Sector,North America,outbound_sdr,2025-03-01,87.2,False
ACC-000077,CO-0076490,Enterprise,20000+,Financial Services,EMEA,self_serve,2023-10-27,81.3,False
ACC-000078,CO-0099157,Enterprise,5001-20000,Manufacturing,North America,self_serve,2022-06-10,74.9,False
ACC-000079,CO-0042658,Enterprise,5001-20000,Public Sector,North America,self_serve,2023-02-08,81.3,False
ACC-000080,CO-0032221,Enterprise,1001-5000,Financial Services,APAC,inbound_marketing,2020-09-19,78.4,False
ACC-000081,CO-0017426,Enterprise,20000+,Financial Services,North America,inbound_marketing,2024-04-26,87.3,False
ACC-000082,CO-0007866,Enterprise,5001-20000,Media/Entertainment,North America,inbound_marketing,2024-11-12,77.5,False
ACC-000083,CO-0111831,Enterprise,20000+,Public Sector,EMEA,self_serve,2023-11-28,94.2,False
ACC-000084,CO-0025589,Enterprise,5001-20000,Financial Services,EMEA,inbound_marketing,2025-07-22,88.5,False
ACC-000085,CO-0075039,Enterprise,20000+,Manufacturing,APAC,self_serve,2024-08-19,77.8,False
ACC-000086,CO-0123085,Enterprise,5001-20000,Technology/SaaS,EMEA,self_serve,2025-04-02,87.6,False
ACC-000087,CO-0063112,Enterprise,20000+,Manufacturing,North America,inbound_marketing,2025-08-25,76.9,False
ACC-000088,CO-0087378,Enterprise,1001-5000,Technology/SaaS,EMEA,self_serve,2024-01-09,80.5,False
ACC-000089,CO-0097415,Enterprise,5001-20000,Financial Services,North America,inbound_marketing,2024-02-17,85.4,False
ACC-000090,CO-0084520,Enterprise,5001-20000,Financial Services,LATAM,inbound_marketing,2024-04-13,76.6,False
ACC-000091,CO-0079468,Enterprise,5001-20000,Manufacturing,North America,inbound_marketing,2024-09-22,82.3,False
ACC-000092,CO-0082324,Enterprise,1001-5000,Technology/SaaS,North America,inbound_marketing,2023-10-14,81.6,False
ACC-000093,CO-0012631,Enterprise,20000+,Logistics/Supply Chain,EMEA,self_serve,2025-11-10,95.0,False
ACC-000094,CO-0007190,Enterprise,20000+,Healthcare,North America,inbound_marketing,2024-01-27,80.7,False
ACC-000095,CO-0110649,Enterprise,5001-20000,Financial Services,North America,inbound_marketing,2024-01-10,75.6,False
ACC-000096,CO-0071985,Enterprise,20000+,Financial Services,North America,self_serve,2023-08-20,88.5,False
ACC-000097,CO-0107550,Enterprise,1001-5000,Financial Services,North America,inbound_marketing,2025-07-01,79.2,False
ACC-000098,CO-0055443,Enterprise,1001-5000,Logistics/Supply Chain,North America,inbound_marketing,2025-10-24,74.1,False
ACC-000099,CO-0040027,Enterprise,20000+,Healthcare,North America,self_serve,2021-03-12,85.2,False
ACC-000100,CO-0029106,Enterprise,5001-20000,Media/Entertainment,North America,inbound_marketing,2021-03-14,81.2,False
ACC-000101,CO-0106708,Enterprise,5001-20000,Healthcare,North America,self_serve,2024-04-24,81.9,False
ACC-000102,CO-0056814,Enterprise,1001-5000,Logistics/Supply Chain,North America,self_serve,2025-11-16,84.5,False
ACC-000103,CO-0012010,Enterprise,5001-20000,Manufacturing,North America,self_serve,2025-06-12,75.8,False
ACC-000104,CO-0098165,Enterprise,5001-20000,Public Sector,North America,inbound_marketing,2024-05-27,73.9,False
ACC-000105,CO-0029311,Enterprise,1001-5000,Logistics/Supply Chain,North America,self_serve,2022-07-14,79.7,False
ACC-000106,CO-0075213,Enterprise,5001-20000,Logistics/Supply Chain,North America,inbound_marketing,2020-07-08,86.8,False
ACC-000107,CO-0050042,Enterprise,5001-20000,Manufacturing,North America,self_serve,2023-03-12,78.4,False
ACC-000108,CO-0061692,Enterprise,20000+,Logistics/Supply Chain,EMEA,self_serve,2025-06-27,92.7,False
ACC-000109,CO-0051339,Enterprise,5001-20000,Technology/SaaS,North America,self_serve,2024-09-05,90.1,False
ACC-000110,CO-0008902,Enterprise,5001-20000,Manufacturing,North America,self_serve,2024-09-15,86.4,False
ACC-000111,CO-0059013,Enterprise,5001-20000,Public Sector,North America,self_serve,2021-03-21,73.9,False
ACC-000112,CO-0070589,Enterprise,1001-5000,Financial Services,North America,outbound_sdr,2025-11-06,82.7,False
ACC-000113,CO-0062600,Commercial,201-1000,Media/Entertainment,APAC,inbound_marketing,2024-07-18,66.9,False
ACC-000114,CO-0122105,Commercial,201-1000,Professional Services,North America,self_serve,2024-02-11,60.0,False
ACC-000115,CO-0098300,Commercial,201-1000,Logistics/Supply Chain,EMEA,inbound_marketing,2025-10-03,56.1,False
ACC-000116,CO-0115978,Commercial,201-1000,Financial Services,North America,self_serve,2021-07-03,61.8,False
ACC-000117,CO-0006337,Commercial,51-200,Media/Entertainment,APAC,inbound_marketing,2024-12-20,41.4,False
ACC-000118,CO-0030026,Commercial,1001-5000,Professional Services,North America,inbound_marketing,2023-03-08,63.0,False
ACC-000119,CO-0054225,Commercial,201-1000,Manufacturing,EMEA,self_serve,2025-03-27,67.7,False
ACC-000120,CO-0044249,Commercial,51-200,Manufacturing,North America,self_serve,2025-09-07,54.2,False
ACC-000121,CO-0034086,Commercial,201-1000,Logistics/Supply Chain,EMEA,self_serve,2024-06-17,52.2,False
ACC-000122,CO-0054684,Commercial,1001-5000,Technology/SaaS,North America,self_serve,2024-03-22,61.5,False
ACC-000123,CO-0113817,Commercial,1001-5000,Media/Entertainment,North America,self_serve,2025-12-03,64.9,False
ACC-000124,CO-0038372,Commercial,1001-5000,Professional Services,EMEA,inbound_marketing,2025-09-08,60.8,False
ACC-000125,CO-0084666,Commercial,5001-20000,Healthcare,North America,inbound_marketing,2021-07-24,59.9,False
ACC-000126,CO-0105922,Commercial,201-1000,Logistics/Supply Chain,North America,inbound_marketing,2024-08-05,59.9,False
ACC-000127,CO-0054628,Commercial,1001-5000,Technology/SaaS,North America,self_serve,2025-02-20,63.4,False
ACC-000128,CO-0032879,Commercial,1001-5000,Technology/SaaS,LATAM,self_serve,2024-06-21,68.7,False
ACC-000129,CO-0045017,Commercial,20000+,Retail/E-commerce,North America,inbound_marketing,2024-08-01,70.2,False
ACC-000130,CO-0068504,Commercial,51-200,Technology/SaaS,LATAM,self_serve,2025-11-06,51.1,False
ACC-000131,CO-0030469,Commercial,1001-5000,Education,APAC,self_serve,2024-05-13,49.2,False
ACC-000132,CO-0009064,Commercial,201-1000,Financial Services,North America,self_serve,2025-12-19,64.9,False
ACC-000133,CO-0001456,Commercial,201-1000,Financial Services,North America,inbound_marketing,2025-08-12,62.0,False
ACC-000134,CO-0003246,Commercial,5001-20000,Media/Entertainment,North America,self_serve,2024-03-10,70.9,False
ACC-000135,CO-0039089,Enterprise,5001-20000,Education,North America,inbound_marketing,2025-01-09,64.6,False
ACC-000136,CO-0116663,Commercial,1-10,Financial Services,North America,inbound_marketing,2025-12-01,44.5,False
ACC-000137,CO-0047489,Commercial,201-1000,Technology/SaaS,APAC,self_serve,2025-06-19,58.4,False
ACC-000138,CO-0024241,Commercial,1001-5000,Professional Services,North America,self_serve,2024-04-11,54.0,False
ACC-000139,CO-0029045,Commercial,51-200,Public Sector,EMEA,inbound_marketing,2023-06-12,43.4,False
ACC-000140,CO-0034501,Commercial,201-1000,Professional Services,EMEA,self_serve,2025-08-14,48.9,False
ACC-000141,CO-0013983,Commercial,51-200,Technology/SaaS,North America,inbound_marketing,2025-03-11,53.2,False
ACC-000142,CO-0018927,Commercial,51-200,Technology/SaaS,APAC,inbound_marketing,2021-01-13,58.4,False
ACC-000143,CO-0114183,Enterprise,201-1000,Professional Services,APAC,self_serve,2025-03-13,45.6,False
ACC-000144,CO-0021648,Commercial,201-1000,Healthcare,North America,self_serve,2024-06-05,45.1,False
ACC-000145,CO-0072613,Enterprise,201-1000,Financial Services,North America,self_serve,2023-07-08,58.0,False
ACC-000146,CO-0082981,Commercial,201-1000,Retail/E-commerce,North America,self_serve,2023-08-01,55.5,False
ACC-000147,CO-0052780,Commercial,201-1000,Healthcare,North America,inbound_marketing,2025-01-17,64.1,False
ACC-000148,CO-0073900,Commercial,1001-5000,Professional Services,EMEA,self_serve,2024-07-15,51.8,False
ACC-000149,CO-0070077,Commercial,1001-5000,Logistics/Supply Chain,EMEA,inbound_marketing,2024-09-21,67.6,False
ACC-000150,CO-0122969,Commercial,201-1000,Technology/SaaS,North America,self_serve,2023-03-27,67.4,False
ACC-000151,CO-0018375,Commercial,20000+,Logistics/Supply Chain,North America,self_serve,2025-06-17,71.7,False
ACC-000152,CO-0096460,Commercial,51-200,Professional Services,EMEA,inbound_marketing,2025-01-08,42.1,False
ACC-000153,CO-0061864,Commercial,1001-5000,Logistics/Supply Chain,North America,self_serve,2020-10-30,64.7,False
ACC-000154,CO-0121607,Commercial,201-1000,Healthcare,North America,self_serve,2025-12-23,50.8,False
ACC-000155,CO-0060916,Commercial,201-1000,Healthcare,North America,self_serve,2025-09-12,50.3,False
ACC-000156,CO-0097112,Commercial,1001-5000,Financial Services,LATAM,self_serve,2021-02-03,65.5,False
ACC-000157,CO-0084044,Commercial,1001-5000,Public Sector,North America,inbound_marketing,2025-06-13,59.7,False
ACC-000158,CO-0091720,Commercial,1001-5000,Public Sector,North America,inbound_marketing,2023-04-09,69.9,False
ACC-000159,CO-0118016,Commercial,5001-20000,Technology/SaaS,North America,inbound_marketing,2025-07-24,69.5,False
ACC-000160,CO-0014396,Enterprise,201-1000,Education,APAC,self_serve,2022-07-21,58.5,False
ACC-000161,CO-0073913,Commercial,51-200,Manufacturing,North America,self_serve,2024-08-16,57.4,False
ACC-000162,CO-0074326,Commercial,51-200,Manufacturing,North America,inbound_marketing,2020-07-29,50.6,False
ACC-000163,CO-0049367,Commercial,51-200,Financial Services,North America,inbound_marketing,2024-09-24,47.6,False
ACC-000164,CO-0064998,Commercial,201-1000,Manufacturing,North America,self_serve,2021-12-11,56.3,False
ACC-000165,CO-0053178,Commercial,1-10,Financial Services,North America,self_serve,2023-12-14,45.9,False
ACC-000166,CO-0047882,Commercial,201-1000,Retail/E-commerce,North America,self_serve,2024-12-19,52.7,False
ACC-000167,CO-0110825,Enterprise,11-50,Public Sector,North America,inbound_marketing,2024-10-25,49.6,False
ACC-000168,CO-0064809,Commercial,5001-20000,Financial Services,North America,inbound_marketing,2025-06-04,68.9,False
