activity_id,account_id,segment,am_rep_id,activity_date,activity_type,sentiment_score
AMT-0000001,ACC-000000,Enterprise,REP-00003,2024-03-31,QBR,2.8
AMT-0000002,ACC-000000,Enterprise,REP-00003,2024-03-31,QBR,4.33
AMT-0000003,ACC-000000,Enterprise,REP-00003,2024-04-06,QBR,4.41
AMT-0000004,ACC-000000,Enterprise,REP-00003,2024-06-28,QBR,3.69
AMT-0000005,ACC-000000,Enterprise,REP-00003,2024-07-12,QBR,3.55
AMT-0000006,ACC-000000,Enterprise,REP-00003,2024-08-22,QBR,4.4
AMT-0000007,ACC-000000,Enterprise,REP-00003,2024-08-16,QBR,4.18
AMT-0000008,ACC-000000,Enterprise,REP-00003,2024-09-27,QBR,3.08
AMT-0000009,ACC-000000,Enterprise,REP-00003,2024-09-15,QBR,4.09
AMT-0000010,ACC-000000,Enterprise,REP-00003,2024-10-24,QBR,3.62
AMT-0000011,ACC-000000,Enterprise,REP-00003,2024-10-14,QBR,3.77
AMT-0000012,ACC-000000,Enterprise,REP-00003,2024-11-30,QBR,4.34
AMT-0000013,ACC-000000,Enterprise,REP-00003,2025-04-08,QBR,4.63
AMT-0000014,ACC-000000,Enterprise,REP-00003,2025-05-04,QBR,4.36
AMT-0000015,ACC-000000,Enterprise,REP-00003,2025-07-31,QBR,3.37
AMT-0000016,ACC-000000,Enterprise,REP-00003,2025-07-25,QBR,4.12
AMT-0000017,ACC-000000,Enterprise,REP-00003,2025-07-22,QBR,4.24
AMT-0000018,ACC-000000,Enterprise,REP-00003,2025-07-17,QBR,3.71
AMT-0000019,ACC-000000,Enterprise,REP-00003,2025-08-26,QBR,4.07
AMT-0000020,ACC-000000,Enterprise,REP-00003,2025-09-30,QBR,3.56
AMT-0000021,ACC-000000,Enterprise,REP-00003,2025-09-11,QBR,3.97
AMT-0000022,ACC-000000,Enterprise,REP-00003,2025-10-05,QBR,4.54
AMT-0000023,ACC-000000,Enterprise,REP-00003,2025-10-26,QBR,3.56
AMT-0000024,ACC-000000,Enterprise,REP-00003,2025-11-13,QBR,4.06
AMT-0000025,ACC-000000,Enterprise,REP-00003,2025-11-29,QBR,3.88
AMT-0000026,ACC-000000,Enterprise,REP-00003,2025-11-05,QBR,4.2
AMT-0000027,ACC-000000,Enterprise,REP-00003,2025-12-20,QBR,2.92
AMT-0000028,ACC-000000,Enterprise,REP-00003,2025-12-20,QBR,3.05
AMT-0000029,ACC-000001,Enterprise,REP-00003,2021-06-23,QBR,3.98
AMT-0000030,ACC-000001,Enterprise,REP-00003,2021-06-26,QBR,2.57
AMT-0000031,ACC-000001,Enterprise,REP-00003,2021-06-25,QBR,4.93
AMT-0000032,ACC-000001,Enterprise,REP-00003,2021-09-18,QBR,3.71
AMT-0000033,ACC-000001,Enterprise,REP-00003,2021-10-22,QBR,4.51
AMT-0000034,ACC-000001,Enterprise,REP-00003,2022-01-24,QBR,4.62
AMT-0000035,ACC-000001,Enterprise,REP-00003,2022-02-20,QBR,3.92
AMT-0000036,ACC-000001,Enterprise,REP-00003,2022-02-07,QBR,4.98
AMT-0000037,ACC-000001,Enterprise,REP-00003,2022-02-13,QBR,3.55
AMT-0000038,ACC-000001,Enterprise,REP-00003,2022-03-22,QBR,3.27
AMT-0000039,ACC-000001,Enterprise,REP-00003,2022-05-10,QBR,5.0
AMT-0000040,ACC-000001,Enterprise,REP-00003,2022-06-17,QBR,4.04
AMT-0000041,ACC-000001,Enterprise,REP-00003,2022-06-06,QBR,3.7
AMT-0000042,ACC-000001,Enterprise,REP-00003,2022-09-16,QBR,3.65
AMT-0000043,ACC-000001,Enterprise,REP-00003,2022-10-19,QBR,4.23
AMT-0000044,ACC-000001,Enterprise,REP-00003,2022-11-20,QBR,3.85
AMT-0000045,ACC-000001,Enterprise,REP-00003,2022-11-09,QBR,3.27
AMT-0000046,ACC-000001,Enterprise,REP-00003,2023-01-11,QBR,3.47
AMT-0000047,ACC-000001,Enterprise,REP-00003,2023-02-07,QBR,5.0
AMT-0000048,ACC-000001,Enterprise,REP-00003,2023-03-08,QBR,4.64
AMT-0000049,ACC-000001,Enterprise,REP-00003,2023-04-14,QBR,4.48
AMT-0000050,ACC-000001,Enterprise,REP-00003,2023-05-06,QBR,3.5
AMT-0000051,ACC-000001,Enterprise,REP-00003,2023-05-19,QBR,3.64
AMT-0000052,ACC-000001,Enterprise,REP-00003,2023-05-23,QBR,2.99
AMT-0000053,ACC-000001,Enterprise,REP-00003,2023-06-03,QBR,4.08
AMT-0000054,ACC-000001,Enterprise,REP-00003,2023-06-11,QBR,3.93
AMT-0000055,ACC-000001,Enterprise,REP-00003,2023-07-26,QBR,4.15
AMT-0000056,ACC-000001,Enterprise,REP-00003,2023-07-15,QBR,3.82
AMT-0000057,ACC-000001,Enterprise,REP-00003,2023-07-31,QBR,4.45
AMT-0000058,ACC-000001,Enterprise,REP-00003,2023-08-29,QBR,3.06
