event_id,lead_id,campaign_id,channel,event_type,event_timestamp
EVT-00000001,LD-000001,CMP-00001,organic,organic_search_visit,2018-10-03 13:36:57
EVT-00000002,LD-000002,CMP-00002,paid,ad_click,2018-10-05 10:05:01
EVT-00000003,LD-000002,CMP-00002,paid,landing_page_view,2018-10-07 11:56:47
EVT-00000004,LD-000002,CMP-00002,paid,retargeting_click,2018-10-09 13:47:24
EVT-00000005,LD-000002,CMP-00002,paid,ad_click,2018-10-10 15:21:58
EVT-00000006,LD-000003,CMP-00004,community,event_registration,2018-10-06 14:16:07
EVT-00000007,LD-000003,CMP-00004,community,event_attendance,2018-10-06 14:16:13
EVT-00000008,LD-000004,CMP-00004,community,event_registration,2018-10-07 08:11:44
EVT-00000009,LD-000004,CMP-00004,community,community_post,2018-10-12 15:23:29
EVT-00000010,LD-000004,CMP-00004,community,event_attendance,2018-10-16 17:29:09
EVT-00000011,LD-000005,CMP-00004,community,event_registration,2018-10-09 10:53:30
EVT-00000012,LD-000005,CMP-00004,community,community_post,2018-10-28 17:06:19
EVT-00000013,LD-000006,CMP-00001,organic,organic_search_visit,2018-10-11 19:29:01
EVT-00000014,LD-000006,CMP-00001,organic,organic_search_visit,2018-10-12 20:17:25
EVT-00000015,LD-000007,CMP-00002,paid,ad_click,2018-10-11 15:42:37
EVT-00000016,LD-000008,CMP-00004,community,event_registration,2018-10-11 10:00:11
EVT-00000017,LD-000008,CMP-00004,community,community_join,2018-10-11 10:57:42
EVT-00000018,LD-000008,CMP-00004,community,community_join,2018-10-14 14:20:59
EVT-00000019,LD-000008,CMP-00004,community,event_attendance,2018-10-15 17:04:15
EVT-00000020,LD-000008,CMP-00004,community,community_join,2018-10-17 19:29:07
EVT-00000021,LD-000008,CMP-00004,community,event_attendance,2018-10-17 19:39:36
EVT-00000022,LD-000009,CMP-00002,paid,ad_click,2018-10-12 09:12:30
EVT-00000023,LD-000010,CMP-00003,paid,ad_click,2018-10-12 09:29:16
EVT-00000024,LD-000010,CMP-00003,paid,retargeting_click,2018-10-12 17:35:21
EVT-00000025,LD-000011,CMP-00003,paid,ad_click,2018-10-13 11:39:03
EVT-00000026,LD-000011,CMP-00004,community,event_registration,2018-10-22 15:00:19
EVT-00000027,LD-000012,CMP-00001,organic,organic_search_visit,2018-10-16 09:21:38
EVT-00000028,LD-000012,CMP-00001,organic,content_download,2018-10-18 13:21:25
EVT-00000029,LD-000012,CMP-00001,organic,docs_view,2018-10-21 15:42:47
EVT-00000030,LD-000013,CMP-00003,paid,ad_click,2018-10-17 10:50:28
EVT-00000031,LD-000014,CMP-00003,paid,ad_click,2018-10-17 10:01:03
EVT-00000032,LD-000014,CMP-00003,paid,landing_page_view,2018-10-17 16:38:16
EVT-00000033,LD-000014,CMP-00003,paid,retargeting_click,2018-10-18 19:10:00
EVT-00000034,LD-000015,CMP-00004,community,event_registration,2018-10-20 15:40:49
EVT-00000035,LD-000016,CMP-00004,community,event_registration,2018-10-24 20:49:23
EVT-00000036,LD-000017,CMP-00001,organic,organic_search_visit,2018-10-26 16:24:57
EVT-00000037,LD-000017,CMP-00001,organic,organic_search_visit,2018-10-27 17:36:43
EVT-00000038,LD-000017,CMP-00001,organic,content_download,2018-10-29 18:45:47
EVT-00000039,LD-000018,CMP-00003,paid,ad_click,2018-10-26 09:24:41
EVT-00000040,LD-000019,CMP-00001,organic,organic_search_visit,2018-10-29 08:42:04
EVT-00000041,LD-000019,CMP-00001,organic,blog_view,2018-10-29 09:04:39
EVT-00000042,LD-000019,CMP-00001,organic,blog_view,2018-10-30 10:53:45
EVT-00000043,LD-000019,CMP-00001,organic,content_download,2018-10-31 12:53:23
EVT-00000044,LD-000019,CMP-00001,organic,docs_view,2018-10-31 13:08:22
EVT-00000045,LD-000019,CMP-00001,organic,organic_search_visit,2018-11-01 15:45:07
EVT-00000046,LD-000019,CMP-00001,organic,blog_view,2018-11-01 18:22:11
EVT-00000047,LD-000020,CMP-00001,organic,organic_search_visit,2018-10-29 10:37:21
EVT-00000048,LD-000020,CMP-00004,community,community_join,2018-10-29 12:31:48
EVT-00000049,LD-000020,CMP-00001,organic,content_download,2018-10-29 15:19:05
EVT-00000050,LD-000020,CMP-00001,organic,docs_view,2018-10-29 18:34:12
EVT-00000051,LD-000020,CMP-00001,organic,blog_view,2018-10-30 18:59:12
EVT-00000052,LD-000020,CMP-00001,organic,docs_view,2018-10-30 20:45:06
EVT-00000053,LD-000021,CMP-00001,organic,organic_search_visit,2018-10-29 15:40:50
EVT-00000054,LD-000022,CMP-00004,community,event_registration,2018-10-29 12:50:33
EVT-00000055,LD-000022,CMP-00004,community,community_post,2018-11-04 15:50:21
EVT-00000056,LD-000022,CMP-00004,community,community_join,2018-11-09 19:08:05
EVT-00000057,LD-000023,CMP-00002,paid,ad_click,2018-10-30 11:04:39
EVT-00000058,LD-000023,CMP-00001,organic,blog_view,2018-11-02 19:31:17
EVT-00000059,LD-000024,CMP-00003,paid,ad_click,2018-10-30 09:32:40
EVT-00000060,LD-000024,CMP-00003,paid,landing_page_view,2018-10-30 11:14:38
EVT-00000061,LD-000024,CMP-00002,paid,paid_asset_download,2018-11-01 16:24:25
EVT-00000062,LD-000025,CMP-00002,paid,ad_click,2018-11-02 11:18:45
EVT-00000063,LD-000025,CMP-00003,paid,retargeting_click,2018-11-08 18:06:02
EVT-00000064,LD-000025,CMP-00002,paid,retargeting_click,2018-11-08 19:34:33
EVT-00000065,LD-000026,CMP-00003,paid,ad_click,2018-11-02 09:54:52
EVT-00000066,LD-000026,CMP-00003,paid,landing_page_view,2018-11-06 18:16:18
EVT-00000067,LD-000026,CMP-00001,organic,content_download,2018-11-13 18:35:37
EVT-00000068,LD-000027,CMP-00002,paid,ad_click,2018-11-03 12:17:56
EVT-00000069,LD-000027,CMP-00002,paid,landing_page_view,2018-11-03 17:08:31
EVT-00000070,LD-000027,CMP-00002,paid,landing_page_view,2018-11-06 18:57:32
EVT-00000071,LD-000028,CMP-00004,community,event_registration,2018-11-03 10:08:41
EVT-00000072,LD-000028,CMP-00004,community,event_attendance,2018-11-06 15:30:21
EVT-00000073,LD-000028,CMP-00004,community,event_attendance,2018-11-07 16:02:38
EVT-00000074,LD-000028,CMP-00004,community,community_post,2018-11-07 18:11:25
EVT-00000075,LD-000028,CMP-00004,community,event_registration,2018-11-08 18:36:27
EVT-00000076,LD-000028,CMP-00004,community,event_attendance,2018-11-13 18:47:38
EVT-00000077,LD-000028,CMP-00004,community,community_join,2018-11-15 20:14:38
EVT-00000078,LD-000029,CMP-00002,paid,ad_click,2018-11-04 19:53:30
EVT-00000079,LD-000030,CMP-00002,paid,ad_click,2018-11-04 09:59:33
EVT-00000080,LD-000030,CMP-00002,paid,retargeting_click,2018-11-11 12:19:41
EVT-00000081,LD-000031,CMP-00001,organic,organic_search_visit,2018-11-05 08:52:19
EVT-00000082,LD-000031,CMP-00001,organic,blog_view,2018-11-05 09:41:59
EVT-00000083,LD-000031,CMP-00001,organic,content_download,2018-11-05 10:39:02
EVT-00000084,LD-000031,CMP-00001,organic,docs_view,2018-11-05 12:37:47
EVT-00000085,LD-000031,CMP-00001,organic,docs_view,2018-11-05 15:07:21
EVT-00000086,LD-000031,CMP-00001,organic,content_download,2018-11-05 17:12:44
EVT-00000087,LD-000031,CMP-00001,organic,docs_view,2018-11-05 20:30:39
EVT-00000088,LD-000032,CMP-00002,paid,ad_click,2018-11-07 11:43:54
EVT-00000089,LD-000032,CMP-00002,paid,ad_click,2018-11-07 13:27:37
EVT-00000090,LD-000032,CMP-00003,paid,retargeting_click,2018-11-08 18:08:53
EVT-00000091,LD-000033,CMP-00003,paid,ad_click,2018-11-07 11:45:28
EVT-00000092,LD-000033,CMP-00003,paid,retargeting_click,2018-11-07 13:05:13
EVT-00000093,LD-000033,CMP-00003,paid,paid_asset_download,2018-11-07 20:12:23
EVT-00000094,LD-000034,CMP-00002,paid,ad_click,2018-11-08 13:24:48
EVT-00000095,LD-000034,CMP-00002,paid,retargeting_click,2018-11-09 19:43:32
EVT-00000096,LD-000035,CMP-00001,organic,organic_search_visit,2018-11-09 19:29:05
EVT-00000097,LD-000036,CMP-00001,organic,organic_search_visit,2018-11-11 08:17:13
EVT-00000098,LD-000036,CMP-00001,organic,organic_search_visit,2018-11-11 09:54:12
EVT-00000099,LD-000036,CMP-00001,organic,blog_view,2018-11-14 10:45:10
EVT-00000100,LD-000036,CMP-00001,organic,blog_view,2018-11-16 11:54:57
EVT-00000101,LD-000036,CMP-00001,organic,docs_view,2018-11-17 16:31:06
EVT-00000102,LD-000036,CMP-00001,organic,blog_view,2018-11-18 17:24:11
EVT-00000103,LD-000037,CMP-00001,organic,organic_search_visit,2018-11-11 09:21:37
EVT-00000104,LD-000037,CMP-00001,organic,blog_view,2018-11-12 12:02:16
EVT-00000105,LD-000037,CMP-00001,organic,docs_view,2018-11-12 15:41:43
EVT-00000106,LD-000038,CMP-00002,paid,ad_click,2018-11-12 19:39:35
EVT-00000107,LD-000039,CMP-00001,organic,organic_search_visit,2018-11-15 19:35:08
EVT-00000108,LD-000040,CMP-00001,organic,organic_search_visit,2018-11-16 16:51:08
EVT-00000109,LD-000040,CMP-00001,organic,content_download,2018-12-04 18:53:15
EVT-00000110,LD-000041,CMP-00004,community,event_registration,2018-11-16 09:50:33
EVT-00000111,LD-000041,CMP-00004,community,community_post,2018-11-16 11:38:48
EVT-00000112,LD-000041,CMP-00004,community,event_registration,2018-11-16 16:29:26
EVT-00000113,LD-000042,CMP-00004,community,event_registration,2018-11-17 09:47:50
EVT-00000114,LD-000042,CMP-00004,community,community_post,2018-11-17 13:46:10
EVT-00000115,LD-000042,CMP-00004,community,community_join,2018-11-17 18:26:33
EVT-00000116,LD-000042,CMP-00004,community,community_post,2018-11-17 20:03:11
EVT-00000117,LD-000043,CMP-00004,community,event_registration,2018-11-18 08:16:09
EVT-00000118,LD-000043,CMP-00004,community,community_join,2018-11-23 08:58:11
EVT-00000119,LD-000043,CMP-00004,community,event_registration,2018-11-26 17:33:14
EVT-00000120,LD-000044,CMP-00001,organic,organic_search_visit,2018-11-19 08:13:02
EVT-00000121,LD-000044,CMP-00001,organic,docs_view,2018-11-19 10:29:56
EVT-00000122,LD-000044,CMP-00001,organic,blog_view,2018-11-26 13:33:05
EVT-00000123,LD-000045,CMP-00002,paid,ad_click,2018-11-19 15:37:08
EVT-00000124,LD-000046,CMP-00002,paid,ad_click,2018-11-19 16:41:29
EVT-00000125,LD-000046,CMP-00002,paid,landing_page_view,2018-11-21 20:58:51
EVT-00000126,LD-000047,CMP-00004,community,event_registration,2018-11-21 10:46:58
EVT-00000127,LD-000047,CMP-00004,community,event_registration,2018-11-22 12:05:57
