account_id,month,segment,committed_actions_monthly,utilized_actions_monthly
ACC-000000,2024-03-01,Enterprise,,123824
ACC-000000,2024-04-01,Enterprise,846555.0,231389
ACC-000000,2024-05-01,Enterprise,846555.0,394334
ACC-000000,2024-06-01,Enterprise,846555.0,625494
ACC-000000,2024-07-01,Enterprise,846555.0,1063982
ACC-000000,2024-08-01,Enterprise,846555.0,955911
ACC-000000,2024-09-01,Enterprise,846555.0,1203348
ACC-000000,2024-10-01,Enterprise,846555.0,1566141
ACC-000000,2024-11-01,Enterprise,846555.0,1363578
ACC-000000,2024-12-01,Enterprise,846555.0,1194778
ACC-000000,2025-01-01,Enterprise,846555.0,1364611
ACC-000000,2025-02-01,Enterprise,846555.0,1292739
ACC-000000,2025-03-01,Enterprise,846555.0,1191194
ACC-000000,2025-04-01,Enterprise,846555.0,1441198
ACC-000000,2025-05-01,Enterprise,846555.0,1503956
ACC-000000,2025-06-01,Enterprise,846555.0,1526796
ACC-000000,2025-07-01,Enterprise,846555.0,1327803
ACC-000000,2025-08-01,Enterprise,846555.0,1328547
ACC-000000,2025-09-01,Enterprise,846555.0,1655925
ACC-000000,2025-10-01,Enterprise,846555.0,1522683
ACC-000000,2025-11-01,Enterprise,846555.0,1416905
ACC-000000,2025-12-01,Enterprise,846555.0,1252753
ACC-000001,2021-06-01,Enterprise,,24615
ACC-000001,2021-07-01,Enterprise,170247.0,34920
ACC-000001,2021-08-01,Enterprise,170247.0,64019
ACC-000001,2021-09-01,Enterprise,170247.0,119273
ACC-000001,2021-10-01,Enterprise,170247.0,251715
ACC-000001,2021-11-01,Enterprise,170247.0,238889
ACC-000001,2021-12-01,Enterprise,170247.0,239127
ACC-000001,2022-01-01,Enterprise,170247.0,253662
ACC-000001,2022-02-01,Enterprise,170247.0,245019
ACC-000001,2022-03-01,Enterprise,170247.0,259234
ACC-000001,2022-04-01,Enterprise,170247.0,217100
ACC-000001,2022-05-01,Enterprise,170247.0,210560
ACC-000001,2022-06-01,Enterprise,170247.0,239115
ACC-000001,2022-07-01,Enterprise,170247.0,256686
ACC-000001,2022-08-01,Enterprise,170247.0,274957
ACC-000001,2022-09-01,Enterprise,170247.0,272168
ACC-000001,2022-10-01,Enterprise,170247.0,249365
ACC-000001,2022-11-01,Enterprise,170247.0,299626
ACC-000001,2022-12-01,Enterprise,170247.0,284195
ACC-000001,2023-01-01,Enterprise,170247.0,330547
ACC-000001,2023-02-01,Enterprise,170247.0,275427
ACC-000001,2023-03-01,Enterprise,170247.0,308942
ACC-000001,2023-04-01,Enterprise,170247.0,353178
ACC-000001,2023-05-01,Enterprise,170247.0,275111
ACC-000001,2023-06-01,Enterprise,170247.0,301747
ACC-000001,2023-07-01,Enterprise,170247.0,267173
ACC-000001,2023-08-01,Enterprise,170247.0,327015
ACC-000001,2023-09-01,Enterprise,170247.0,316077
ACC-000001,2023-10-01,Enterprise,170247.0,387826
ACC-000001,2023-11-01,Enterprise,170247.0,368562
ACC-000001,2023-12-01,Enterprise,170247.0,271847
ACC-000001,2024-01-01,Enterprise,170247.0,396869
ACC-000001,2024-02-01,Enterprise,170247.0,330159
ACC-000001,2024-03-01,Enterprise,170247.0,305469
ACC-000001,2024-04-01,Enterprise,170247.0,387454
ACC-000001,2024-05-01,Enterprise,170247.0,409926
ACC-000001,2024-06-01,Enterprise,170247.0,349161
ACC-000001,2024-07-01,Enterprise,178760.0,339653
ACC-000001,2024-08-01,Enterprise,178760.0,342825
ACC-000001,2024-09-01,Enterprise,178760.0,396936
ACC-000001,2024-10-01,Enterprise,178760.0,383944
ACC-000001,2024-11-01,Enterprise,178760.0,382441
ACC-000001,2024-12-01,Enterprise,178760.0,440325
ACC-000001,2025-01-01,Enterprise,178760.0,500478
ACC-000001,2025-02-01,Enterprise,178760.0,426926
ACC-000001,2025-03-01,Enterprise,178760.0,437736
ACC-000001,2025-04-01,Enterprise,178760.0,404500
ACC-000001,2025-05-01,Enterprise,178760.0,371645
ACC-000001,2025-06-01,Enterprise,178760.0,453726
ACC-000001,2025-07-01,Enterprise,178760.0,371919
ACC-000001,2025-08-01,Enterprise,178760.0,466167
ACC-000001,2025-09-01,Enterprise,178760.0,432945
ACC-000001,2025-10-01,Enterprise,178760.0,460524
ACC-000001,2025-11-01,Enterprise,178760.0,548165
ACC-000001,2025-12-01,Enterprise,178760.0,428511
ACC-000002,2025-10-01,Enterprise,,41689
ACC-000002,2025-11-01,Enterprise,292261.0,160786
ACC-000002,2025-12-01,Enterprise,292261.0,306685
ACC-000003,2024-01-01,Enterprise,,83831
ACC-000003,2024-02-01,Enterprise,643778.0,144606
ACC-000003,2024-03-01,Enterprise,643778.0,283982
ACC-000003,2024-04-01,Enterprise,643778.0,596112
ACC-000003,2024-05-01,Enterprise,643778.0,900831
ACC-000003,2024-06-01,Enterprise,643778.0,862372
ACC-000003,2024-07-01,Enterprise,643778.0,901625
ACC-000003,2024-08-01,Enterprise,643778.0,745702
ACC-000003,2024-09-01,Enterprise,643778.0,951335
ACC-000003,2024-10-01,Enterprise,643778.0,945093
ACC-000003,2024-11-01,Enterprise,643778.0,1021899
ACC-000003,2024-12-01,Enterprise,643778.0,842972
ACC-000003,2025-01-01,Enterprise,643778.0,1115923
ACC-000003,2025-02-01,Enterprise,643778.0,1060788
ACC-000003,2025-03-01,Enterprise,643778.0,1113670
ACC-000003,2025-04-01,Enterprise,643778.0,1120805
ACC-000003,2025-05-01,Enterprise,643778.0,1082722
ACC-000003,2025-06-01,Enterprise,643778.0,1057807
ACC-000003,2025-07-01,Enterprise,643778.0,1139919
ACC-000003,2025-08-01,Enterprise,643778.0,977379
ACC-000003,2025-09-01,Enterprise,643778.0,1008830
ACC-000003,2025-10-01,Enterprise,643778.0,1004708
ACC-000003,2025-11-01,Enterprise,643778.0,1107635
ACC-000003,2025-12-01,Enterprise,643778.0,1186876
ACC-000004,2025-10-01,Enterprise,,57171
ACC-000004,2025-11-01,Enterprise,338924.0,143707
ACC-000004,2025-12-01,Enterprise,338924.0,382167
ACC-000005,2023-11-01,Enterprise,,84188
ACC-000005,2023-12-01,Enterprise,574003.0,117637
ACC-000005,2024-01-01,Enterprise,574003.0,301424
ACC-000005,2024-02-01,Enterprise,574003.0,470732
ACC-000005,2024-03-01,Enterprise,574003.0,770421
ACC-000005,2024-04-01,Enterprise,574003.0,732958
ACC-000005,2024-05-01,Enterprise,574003.0,876319
ACC-000005,2024-06-01,Enterprise,574003.0,822168
ACC-000005,2024-07-01,Enterprise,574003.0,820985
ACC-000005,2024-08-01,Enterprise,574003.0,845778
ACC-000005,2024-09-01,Enterprise,574003.0,923818
ACC-000005,2024-10-01,Enterprise,574003.0,857376
ACC-000005,2024-11-01,Enterprise,574003.0,895913
ACC-000005,2024-12-01,Enterprise,574003.0,768326
ACC-000005,2025-01-01,Enterprise,574003.0,826701
ACC-000005,2025-02-01,Enterprise,574003.0,884304
ACC-000005,2025-03-01,Enterprise,574003.0,874546
