account_id,month,upstream_actions,downstream_actions
ACC-000000,2024-03-01,128726,123824
ACC-000000,2024-04-01,244996,231389
ACC-000000,2024-05-01,437224,394334
ACC-000000,2024-06-01,672730,625494
ACC-000000,2024-07-01,1098318,1063982
ACC-000000,2024-08-01,1067667,955911
ACC-000000,2024-09-01,1398856,1203348
ACC-000000,2024-10-01,1618745,1566141
ACC-000000,2024-11-01,1422325,1363578
ACC-000000,2024-12-01,1297076,1194778
ACC-000000,2025-01-01,1472146,1364611
ACC-000000,2025-02-01,1415882,1292739
ACC-000000,2025-03-01,1276021,1191194
ACC-000000,2025-04-01,1479628,1441198
ACC-000000,2025-05-01,1735036,1503956
ACC-000000,2025-06-01,1608585,1526796
ACC-000000,2025-07-01,1403421,1327803
ACC-000000,2025-08-01,1474422,1328547
ACC-000000,2025-09-01,1712796,1655925
ACC-000000,2025-10-01,1753767,1522683
ACC-000000,2025-11-01,1592410,1416905
ACC-000000,2025-12-01,1339511,1252753
ACC-000001,2021-06-01,25264,24615
ACC-000001,2021-07-01,37667,34920
ACC-000001,2021-08-01,66453,64019
ACC-000001,2021-09-01,129271,119273
ACC-000001,2021-10-01,265233,251715
ACC-000001,2021-11-01,273083,238889
ACC-000001,2021-12-01,255984,239127
ACC-000001,2022-01-01,262975,253662
ACC-000001,2022-02-01,282082,245019
ACC-000001,2022-03-01,289381,259234
ACC-000001,2022-04-01,253642,217100
ACC-000001,2022-05-01,232036,210560
ACC-000001,2022-06-01,269565,239115
ACC-000001,2022-07-01,271723,256686
ACC-000001,2022-08-01,287236,274957
ACC-000001,2022-09-01,301860,272168
ACC-000001,2022-10-01,273923,249365
ACC-000001,2022-11-01,325046,299626
ACC-000001,2022-12-01,311402,284195
ACC-000001,2023-01-01,369265,330547
ACC-000001,2023-02-01,322720,275427
ACC-000001,2023-03-01,325808,308942
ACC-000001,2023-04-01,366985,353178
ACC-000001,2023-05-01,297875,275111
ACC-000001,2023-06-01,331643,301747
ACC-000001,2023-07-01,314267,267173
ACC-000001,2023-08-01,352320,327015
ACC-000001,2023-09-01,355136,316077
ACC-000001,2023-10-01,414150,387826
ACC-000001,2023-11-01,402089,368562
ACC-000001,2023-12-01,319286,271847
ACC-000001,2024-01-01,408432,396869
ACC-000001,2024-02-01,365619,330159
ACC-000001,2024-03-01,348072,305469
ACC-000001,2024-04-01,422233,387454
ACC-000001,2024-05-01,433169,409926
ACC-000001,2024-06-01,378131,349161
ACC-000001,2024-07-01,396403,339653
ACC-000001,2024-08-01,381512,342825
ACC-000001,2024-09-01,412952,396936
ACC-000001,2024-10-01,449858,383944
ACC-000001,2024-11-01,449519,382441
ACC-000001,2024-12-01,463737,440325
ACC-000001,2025-01-01,551575,500478
ACC-000001,2025-02-01,461531,426926
ACC-000001,2025-03-01,502539,437736
ACC-000001,2025-04-01,471995,404500
ACC-000001,2025-05-01,413885,371645
ACC-000001,2025-06-01,472621,453726
ACC-000001,2025-07-01,416069,371919
ACC-000001,2025-08-01,520401,466167
ACC-000001,2025-09-01,476161,432945
ACC-000001,2025-10-01,495056,460524
ACC-000001,2025-11-01,584616,548165
ACC-000001,2025-12-01,456539,428511
ACC-000002,2025-10-01,46930,41689
ACC-000002,2025-11-01,180046,160786
ACC-000002,2025-12-01,349269,306685
ACC-000003,2024-01-01,93113,83831
ACC-000003,2024-02-01,169262,144606
ACC-000003,2024-03-01,309670,283982
ACC-000003,2024-04-01,644765,596112
