layer1_metric,month,plan_value,pillar
new_logo_consumption_revenue,2023-01-01,8700.0,Growth
new_logo_consumption_revenue,2023-02-01,8100.0,Growth
new_logo_consumption_revenue,2023-03-01,8000.0,Growth
new_logo_consumption_revenue,2023-04-01,8900.0,Growth
new_logo_consumption_revenue,2023-05-01,8600.0,Growth
new_logo_consumption_revenue,2023-06-01,8300.0,Growth
new_logo_consumption_revenue,2023-07-01,8700.0,Growth
new_logo_consumption_revenue,2023-08-01,8700.0,Growth
new_logo_consumption_revenue,2023-09-01,10300.0,Growth
new_logo_consumption_revenue,2023-10-01,10400.0,Growth
new_logo_consumption_revenue,2023-11-01,10400.0,Growth
new_logo_consumption_revenue,2023-12-01,9100.0,Growth
new_logo_consumption_revenue,2024-01-01,11800.0,Growth
new_logo_consumption_revenue,2024-02-01,11400.0,Growth
new_logo_consumption_revenue,2024-03-01,11500.0,Growth
new_logo_consumption_revenue,2024-04-01,12300.0,Growth
new_logo_consumption_revenue,2024-05-01,12200.0,Growth
new_logo_consumption_revenue,2024-06-01,11600.0,Growth
new_logo_consumption_revenue,2024-07-01,12100.0,Growth
new_logo_consumption_revenue,2024-08-01,12600.0,Growth
new_logo_consumption_revenue,2024-09-01,14000.0,Growth
new_logo_consumption_revenue,2024-10-01,14600.0,Growth
new_logo_consumption_revenue,2024-11-01,14800.0,Growth
new_logo_consumption_revenue,2024-12-01,13000.0,Growth
new_logo_consumption_revenue,2025-01-01,16300.0,Growth
new_logo_consumption_revenue,2025-02-01,16500.0,Growth
new_logo_consumption_revenue,2025-03-01,16700.0,Growth
new_logo_consumption_revenue,2025-04-01,17200.0,Growth
new_logo_consumption_revenue,2025-05-01,17400.0,Growth
new_logo_consumption_revenue,2025-06-01,17200.0,Growth
new_logo_consumption_revenue,2025-07-01,17200.0,Growth
new_logo_consumption_revenue,2025-08-01,17400.0,Growth
new_logo_consumption_revenue,2025-09-01,19600.0,Growth
new_logo_consumption_revenue,2025-10-01,20600.0,Growth
new_logo_consumption_revenue,2025-11-01,19800.0,Growth
new_logo_consumption_revenue,2025-12-01,17800.0,Growth
expansion_consumption_revenue,2023-01-01,35500.0,Growth
expansion_consumption_revenue,2023-02-01,36200.0,Growth
expansion_consumption_revenue,2023-03-01,34500.0,Growth
expansion_consumption_revenue,2023-04-01,38200.0,Growth
expansion_consumption_revenue,2023-05-01,38200.0,Growth
expansion_consumption_revenue,2023-06-01,38300.0,Growth
expansion_consumption_revenue,2023-07-01,35900.0,Growth
expansion_consumption_revenue,2023-08-01,36600.0,Growth
expansion_consumption_revenue,2023-09-01,42500.0,Growth
expansion_consumption_revenue,2023-10-01,43500.0,Growth
expansion_consumption_revenue,2023-11-01,46700.0,Growth
expansion_consumption_revenue,2023-12-01,38600.0,Growth
expansion_consumption_revenue,2024-01-01,67300.0,Growth
expansion_consumption_revenue,2024-02-01,66800.0,Growth
expansion_consumption_revenue,2024-03-01,69300.0,Growth
expansion_consumption_revenue,2024-04-01,71400.0,Growth
expansion_consumption_revenue,2024-05-01,73400.0,Growth
expansion_consumption_revenue,2024-06-01,66200.0,Growth
expansion_consumption_revenue,2024-07-01,66100.0,Growth
expansion_consumption_revenue,2024-08-01,70500.0,Growth
expansion_consumption_revenue,2024-09-01,80500.0,Growth
expansion_consumption_revenue,2024-10-01,82700.0,Growth
expansion_consumption_revenue,2024-11-01,85500.0,Growth
expansion_consumption_revenue,2024-12-01,75200.0,Growth
expansion_consumption_revenue,2025-01-01,125400.0,Growth
expansion_consumption_revenue,2025-02-01,127400.0,Growth
expansion_consumption_revenue,2025-03-01,138200.0,Growth
expansion_consumption_revenue,2025-04-01,131200.0,Growth
expansion_consumption_revenue,2025-05-01,130400.0,Growth
expansion_consumption_revenue,2025-06-01,129100.0,Growth
expansion_consumption_revenue,2025-07-01,132800.0,Growth
expansion_consumption_revenue,2025-08-01,132000.0,Growth
expansion_consumption_revenue,2025-09-01,150200.0,Growth
expansion_consumption_revenue,2025-10-01,170400.0,Growth
expansion_consumption_revenue,2025-11-01,173800.0,Growth
expansion_consumption_revenue,2025-12-01,143800.0,Growth
contraction_churned_revenue,2023-01-01,14000.0,Growth
contraction_churned_revenue,2023-02-01,13400.0,Growth
contraction_churned_revenue,2023-03-01,14200.0,Growth
contraction_churned_revenue,2023-04-01,14400.0,Growth
contraction_churned_revenue,2023-05-01,15100.0,Growth
contraction_churned_revenue,2023-06-01,15100.0,Growth
contraction_churned_revenue,2023-07-01,13300.0,Growth
contraction_churned_revenue,2023-08-01,15300.0,Growth
contraction_churned_revenue,2023-09-01,17200.0,Growth
contraction_churned_revenue,2023-10-01,17200.0,Growth
contraction_churned_revenue,2023-11-01,16900.0,Growth
contraction_churned_revenue,2023-12-01,15100.0,Growth
contraction_churned_revenue,2024-01-01,22900.0,Growth
contraction_churned_revenue,2024-02-01,23500.0,Growth
contraction_churned_revenue,2024-03-01,23200.0,Growth
contraction_churned_revenue,2024-04-01,25300.0,Growth
contraction_churned_revenue,2024-05-01,25100.0,Growth
contraction_churned_revenue,2024-06-01,25500.0,Growth
contraction_churned_revenue,2024-07-01,24100.0,Growth
contraction_churned_revenue,2024-08-01,26000.0,Growth
contraction_churned_revenue,2024-09-01,28700.0,Growth
contraction_churned_revenue,2024-10-01,30300.0,Growth
contraction_churned_revenue,2024-11-01,29500.0,Growth
contraction_churned_revenue,2024-12-01,26100.0,Growth
contraction_churned_revenue,2025-01-01,39200.0,Growth
contraction_churned_revenue,2025-02-01,40400.0,Growth
contraction_churned_revenue,2025-03-01,40000.0,Growth
contraction_churned_revenue,2025-04-01,42800.0,Growth
contraction_churned_revenue,2025-05-01,41000.0,Growth
contraction_churned_revenue,2025-06-01,43800.0,Growth
contraction_churned_revenue,2025-07-01,43500.0,Growth
contraction_churned_revenue,2025-08-01,43300.0,Growth
contraction_churned_revenue,2025-09-01,49100.0,Growth
contraction_churned_revenue,2025-10-01,52400.0,Growth
contraction_churned_revenue,2025-11-01,49300.0,Growth
contraction_churned_revenue,2025-12-01,47600.0,Growth
magic_number,2023-01-01,0.7763,Efficiency
magic_number,2023-02-01,0.7601,Efficiency
magic_number,2023-03-01,0.7498,Efficiency
magic_number,2023-04-01,0.7561,Efficiency
magic_number,2023-05-01,0.7503,Efficiency
magic_number,2023-06-01,0.7552,Efficiency
magic_number,2023-07-01,0.7373,Efficiency
magic_number,2023-08-01,0.7311,Efficiency
magic_number,2023-09-01,0.7579,Efficiency
magic_number,2023-10-01,0.7591,Efficiency
magic_number,2023-11-01,0.7639,Efficiency
magic_number,2023-12-01,0.7324,Efficiency
magic_number,2024-01-01,0.7703,Efficiency
magic_number,2024-02-01,0.7808,Efficiency
magic_number,2024-03-01,0.7921,Efficiency
magic_number,2024-04-01,0.7676,Efficiency
magic_number,2024-05-01,0.7737,Efficiency
magic_number,2024-06-01,0.7661,Efficiency
magic_number,2024-07-01,0.7572,Efficiency
magic_number,2024-08-01,0.762,Efficiency
magic_number,2024-09-01,0.7689,Efficiency
magic_number,2024-10-01,0.7697,Efficiency
magic_number,2024-11-01,0.795,Efficiency
magic_number,2024-12-01,0.749,Efficiency
magic_number,2025-01-01,0.7813,Efficiency
magic_number,2025-02-01,0.7867,Efficiency
magic_number,2025-03-01,0.7969,Efficiency
magic_number,2025-04-01,0.8145,Efficiency
magic_number,2025-05-01,0.8032,Efficiency
magic_number,2025-06-01,0.7839,Efficiency
magic_number,2025-07-01,0.7667,Efficiency
magic_number,2025-08-01,0.7963,Efficiency
magic_number,2025-09-01,0.7954,Efficiency
magic_number,2025-10-01,0.8104,Efficiency
magic_number,2025-11-01,0.7703,Efficiency
magic_number,2025-12-01,0.7713,Efficiency
consumption_payback,2023-01-01,12.91,Efficiency
consumption_payback,2023-02-01,12.95,Efficiency
consumption_payback,2023-03-01,12.98,Efficiency
consumption_payback,2023-04-01,12.86,Efficiency
consumption_payback,2023-05-01,13.3,Efficiency
consumption_payback,2023-06-01,13.29,Efficiency
consumption_payback,2023-07-01,13.5,Efficiency
consumption_payback,2023-08-01,13.17,Efficiency
consumption_payback,2023-09-01,13.0,Efficiency
consumption_payback,2023-10-01,13.0,Efficiency
consumption_payback,2023-11-01,12.68,Efficiency
consumption_payback,2023-12-01,13.44,Efficiency
consumption_payback,2024-01-01,12.3,Efficiency
consumption_payback,2024-02-01,12.36,Efficiency
consumption_payback,2024-03-01,12.75,Efficiency
consumption_payback,2024-04-01,12.35,Efficiency
consumption_payback,2024-05-01,12.66,Efficiency
consumption_payback,2024-06-01,12.61,Efficiency
consumption_payback,2024-07-01,12.47,Efficiency
consumption_payback,2024-08-01,12.72,Efficiency
consumption_payback,2024-09-01,12.21,Efficiency
consumption_payback,2024-10-01,12.53,Efficiency
consumption_payback,2024-11-01,13.06,Efficiency
consumption_payback,2024-12-01,13.46,Efficiency
consumption_payback,2025-01-01,12.34,Efficiency
consumption_payback,2025-02-01,12.17,Efficiency
consumption_payback,2025-03-01,12.2,Efficiency
consumption_payback,2025-04-01,12.27,Efficiency
consumption_payback,2025-05-01,12.22,Efficiency
consumption_payback,2025-06-01,12.21,Efficiency
