lead_id,account_id,company_id,channel,created_date,lead_score,converted_date,is_converted
LD-000001,,CO-0108702,organic,2018-10-03,29.4,,False
LD-000002,,CO-0047455,paid,2018-10-05,60.0,,False
LD-000003,,CO-0095658,community,2018-10-06,41.2,,False
LD-000004,,CO-0062654,community,2018-10-07,50.5,,False
LD-000005,,CO-0032620,community,2018-10-09,34.9,,False
LD-000006,,CO-0055892,organic,2018-10-11,40.2,,False
LD-000007,,CO-0088535,paid,2018-10-11,20.6,,False
LD-000008,,CO-0078679,community,2018-10-11,53.5,,False
LD-000009,,CO-0017112,paid,2018-10-12,19.6,,False
LD-000010,,CO-0010684,paid,2018-10-12,44.8,,False
LD-000011,,CO-0037239,paid,2018-10-13,40.3,,False
LD-000012,,CO-0016928,organic,2018-10-16,42.5,,False
LD-000013,,CO-0018481,paid,2018-10-17,33.8,,False
LD-000014,,CO-0018760,paid,2018-10-17,53.0,,False
LD-000015,,CO-0041096,community,2018-10-20,24.4,,False
LD-000016,,CO-0115285,community,2018-10-24,32.9,,False
LD-000017,,CO-0119724,organic,2018-10-26,38.8,,False
LD-000018,,CO-0077190,paid,2018-10-26,34.9,,False
LD-000019,,CO-0119551,organic,2018-10-29,49.5,,False
LD-000020,,CO-0045815,organic,2018-10-29,47.1,,False
LD-000021,,CO-0015446,organic,2018-10-29,20.2,,False
LD-000022,,CO-0072206,community,2018-10-29,41.9,,False
LD-000023,,CO-0022210,paid,2018-10-30,21.9,,False
LD-000024,,CO-0092893,paid,2018-10-30,43.5,,False
LD-000025,,CO-0009705,paid,2018-11-02,32.7,,False
LD-000026,,CO-0026110,paid,2018-11-02,41.4,,False
LD-000027,,CO-0012122,paid,2018-11-03,35.7,,False
LD-000028,,CO-0013723,community,2018-11-03,57.5,,False
LD-000029,,CO-0085274,paid,2018-11-04,36.6,,False
LD-000030,,CO-0109310,paid,2018-11-04,38.0,,False
LD-000031,,CO-0107858,organic,2018-11-05,62.6,,False
LD-000032,,CO-0035695,paid,2018-11-07,39.2,,False
LD-000033,,CO-0026889,paid,2018-11-07,36.7,,False
LD-000034,,CO-0022393,paid,2018-11-08,27.9,,False
LD-000035,,CO-0069753,organic,2018-11-09,34.3,,False
LD-000036,,CO-0037167,organic,2018-11-11,54.7,,False
LD-000037,,CO-0038185,organic,2018-11-11,38.6,,False
LD-000038,,CO-0074858,paid,2018-11-12,24.9,,False
LD-000039,,CO-0055479,organic,2018-11-15,38.8,,False
LD-000040,,CO-0069900,organic,2018-11-16,38.2,,False
LD-000041,,CO-0008843,community,2018-11-16,48.5,,False
LD-000042,,CO-0069049,community,2018-11-17,61.7,,False
LD-000043,,CO-0023018,community,2018-11-18,48.4,,False
LD-000044,,CO-0002469,organic,2018-11-19,55.0,,False
LD-000045,,CO-0093696,paid,2018-11-19,19.6,,False
LD-000046,,CO-0081140,paid,2018-11-19,23.3,,False
LD-000047,,CO-0051318,community,2018-11-21,57.2,,False
LD-000048,,CO-0059127,paid,2018-11-23,26.9,,False
LD-000049,,CO-0050397,community,2018-11-23,24.7,,False
LD-000050,,CO-0064864,paid,2018-11-24,32.8,,False
LD-000051,,CO-0079390,paid,2018-11-24,39.4,,False
LD-000052,,CO-0024314,paid,2018-11-26,37.2,,False
LD-000053,,CO-0119565,organic,2018-11-27,51.6,,False
LD-000054,,CO-0113641,community,2018-11-27,27.2,,False
LD-000055,,CO-0111881,paid,2018-11-28,22.1,,False
LD-000056,,CO-0074605,paid,2018-11-30,17.5,,False
LD-000057,,CO-0085421,community,2018-11-30,47.1,,False
LD-000058,,CO-0005283,organic,2018-12-01,50.9,,False
LD-000059,,CO-0120945,paid,2018-12-04,51.6,,False
LD-000060,,CO-0043904,paid,2018-12-05,26.8,,False
LD-000061,,CO-0056360,organic,2018-12-06,36.0,,False
LD-000062,,CO-0116340,paid,2018-12-06,28.3,,False
LD-000063,,CO-0116341,organic,2018-12-10,53.5,,False
LD-000064,,CO-0106984,paid,2018-12-10,29.8,,False
LD-000065,,CO-0023604,paid,2018-12-12,38.5,,False
LD-000066,,CO-0026239,community,2018-12-12,31.3,,False
LD-000067,,CO-0019757,community,2018-12-12,37.8,,False
LD-000068,,CO-0088182,paid,2018-12-13,28.4,,False
LD-000069,,CO-0045386,community,2018-12-15,32.4,,False
LD-000070,,CO-0014371,paid,2018-12-16,45.1,,False
LD-000071,,CO-0043819,paid,2018-12-17,47.4,,False
LD-000072,,CO-0014611,community,2018-12-23,27.9,,False
LD-000073,,CO-0048571,paid,2018-12-24,37.9,,False
LD-000074,,CO-0122867,paid,2018-12-24,45.1,,False
LD-000075,,CO-0003546,organic,2018-12-26,56.0,,False
LD-000076,,CO-0008404,community,2018-12-26,40.8,,False
LD-000077,,CO-0011754,paid,2018-12-27,51.6,,False
LD-000078,,CO-0030845,paid,2018-12-27,41.1,,False
LD-000079,,CO-0085346,organic,2018-12-30,37.8,,False
LD-000080,,CO-0033416,paid,2018-12-30,30.4,,False
LD-000081,,CO-0068242,community,2019-01-01,44.6,,False
LD-000082,,CO-0117473,community,2019-01-02,32.7,,False
LD-000083,,CO-0056665,organic,2019-01-05,51.9,,False
LD-000084,,CO-0032755,paid,2019-01-06,42.1,,False
LD-000085,,CO-0040941,paid,2019-01-07,33.1,,False
LD-000086,,CO-0107488,paid,2019-01-08,24.9,,False
LD-000087,,CO-0073683,paid,2019-01-10,23.4,,False
LD-000088,,CO-0113134,paid,2019-01-10,46.2,,False
LD-000089,,CO-0078752,organic,2019-01-11,44.1,,False
LD-000090,,CO-0061441,paid,2019-01-12,30.7,,False
LD-000091,,CO-0016986,paid,2019-01-13,28.3,,False
LD-000092,,CO-0085172,community,2019-01-14,46.7,,False
LD-000093,,CO-0038152,paid,2019-01-16,16.3,,False
LD-000094,,CO-0027274,paid,2019-01-16,19.6,,False
LD-000095,,CO-0122527,organic,2019-01-17,40.9,,False
LD-000096,,CO-0002377,paid,2019-01-18,34.2,,False
LD-000097,,CO-0076642,community,2019-01-18,63.6,,False
LD-000098,,CO-0097082,community,2019-01-18,27.8,,False
LD-000099,,CO-0117206,paid,2019-01-19,24.3,,False
LD-000100,,CO-0082894,paid,2019-01-23,29.5,,False
LD-000101,,CO-0035296,paid,2019-01-24,28.8,,False
LD-000102,,CO-0027606,organic,2019-01-25,51.9,,False
LD-000103,,CO-0026784,paid,2019-01-26,42.7,,False
LD-000104,,CO-0023772,community,2019-01-26,41.2,,False
LD-000105,,CO-0067618,organic,2019-01-27,35.7,,False
LD-000106,,CO-0043603,paid,2019-01-27,41.2,,False
LD-000107,,CO-0058752,paid,2019-01-27,48.5,,False
LD-000108,,CO-0064717,community,2019-01-27,36.8,,False
LD-000109,,CO-0010734,community,2019-01-27,38.6,,False
LD-000110,,CO-0075090,paid,2019-01-28,30.9,,False
LD-000111,,CO-0096293,community,2019-01-30,37.5,,False
LD-000112,,CO-0102001,community,2019-02-03,60.4,,False
LD-000113,,CO-0027865,paid,2019-02-04,33.0,,False
LD-000114,,CO-0117555,paid,2019-02-04,35.9,,False
LD-000115,,CO-0029589,community,2019-02-05,44.0,,False
LD-000116,,CO-0042225,organic,2019-02-08,52.0,,False
LD-000117,,CO-0082083,organic,2019-02-09,53.4,,False
LD-000118,,CO-0119656,paid,2019-02-11,22.1,,False
LD-000119,,CO-0115225,paid,2019-02-11,42.8,,False
LD-000120,,CO-0011780,paid,2019-02-11,48.7,,False
LD-000121,,CO-0009113,paid,2019-02-12,35.9,,False
LD-000122,,CO-0038997,paid,2019-02-14,24.2,,False
LD-000123,,CO-0122121,community,2019-02-14,51.5,,False
LD-000124,,CO-0114932,organic,2019-02-15,23.6,,False
LD-000125,,CO-0013764,community,2019-02-15,36.6,,False
LD-000126,,CO-0104093,paid,2019-02-16,29.5,,False
LD-000127,,CO-0040270,organic,2019-02-17,22.6,,False
LD-000128,,CO-0064758,paid,2019-02-18,46.5,,False
LD-000129,,CO-0084382,community,2019-02-18,55.0,,False
LD-000130,,CO-0019236,community,2019-02-19,52.2,,False
LD-000131,,CO-0111467,organic,2019-02-20,46.2,,False
LD-000132,,CO-0116057,organic,2019-02-21,48.0,,False
LD-000133,,CO-0104074,paid,2019-02-21,57.1,,False
LD-000134,,CO-0096518,community,2019-02-24,43.7,,False
LD-000135,,CO-0099290,paid,2019-02-25,28.9,,False
LD-000136,,CO-0094792,paid,2019-02-25,37.8,,False
LD-000137,,CO-0077168,organic,2019-02-26,47.5,,False
LD-000138,,CO-0092386,paid,2019-02-27,33.2,,False
LD-000139,,CO-0060224,paid,2019-02-27,34.9,,False
LD-000140,,CO-0084496,paid,2019-02-28,34.6,,False
