company_id,employee_count_band,industry,region,is_personal_email_domain,icp_fit_score,is_customer,was_ever_customer,account_id
CO-0000000,1-10,Media/Entertainment,North America,True,22.8,False,False,
CO-0000001,11-50,Manufacturing,EMEA,False,39.8,False,False,
CO-0000002,11-50,Retail/E-commerce,EMEA,False,16.5,False,False,
CO-0000003,11-50,Media/Entertainment,North America,False,29.1,False,False,
CO-0000004,1-10,Professional Services,LATAM,False,16.7,False,False,
CO-0000005,51-200,Financial Services,EMEA,False,30.6,False,False,
CO-0000006,51-200,Logistics/Supply Chain,EMEA,False,39.7,False,False,
CO-0000007,51-200,Professional Services,EMEA,False,30.9,False,False,
CO-0000008,1-10,Retail/E-commerce,APAC,False,19.1,False,False,
CO-0000009,1-10,Professional Services,North America,True,15.7,False,False,
CO-0000010,201-1000,Professional Services,North America,False,49.7,False,False,
CO-0000011,1-10,Retail/E-commerce,North America,False,26.5,False,False,
CO-0000012,1-10,Financial Services,APAC,True,27.0,False,False,
CO-0000013,11-50,Retail/E-commerce,EMEA,False,30.0,False,False,
CO-0000014,11-50,Financial Services,EMEA,False,31.9,False,False,
CO-0000015,1001-5000,Public Sector,EMEA,False,57.9,False,False,
CO-0000016,1-10,Education,North America,False,7.9,False,False,
CO-0000017,201-1000,Logistics/Supply Chain,EMEA,False,40.9,False,False,
CO-0000018,1-10,Logistics/Supply Chain,North America,False,18.4,False,False,
CO-0000019,11-50,Financial Services,North America,False,50.7,False,False,
CO-0000020,11-50,Healthcare,North America,False,36.8,True,True,ACC-005026
CO-0000021,1-10,Manufacturing,APAC,False,30.2,False,False,
CO-0000022,1-10,Retail/E-commerce,APAC,False,7.9,False,False,
CO-0000023,1-10,Professional Services,North America,True,20.1,False,False,
CO-0000024,1001-5000,Healthcare,North America,False,70.3,True,True,ACC-000179
CO-0000025,11-50,Retail/E-commerce,EMEA,False,34.0,False,False,
CO-0000026,201-1000,Media/Entertainment,APAC,False,42.4,False,False,
CO-0000027,51-200,Financial Services,North America,False,61.4,False,False,
CO-0000028,11-50,Public Sector,EMEA,False,19.0,False,False,
CO-0000029,51-200,Retail/E-commerce,North America,False,41.2,False,False,
CO-0000030,1-10,Logistics/Supply Chain,North America,False,34.3,False,False,
CO-0000031,1-10,Manufacturing,APAC,False,21.6,False,False,
CO-0000032,51-200,Retail/E-commerce,North America,False,38.2,False,False,
CO-0000033,51-200,Logistics/Supply Chain,APAC,False,25.5,False,False,
CO-0000034,1-10,Healthcare,LATAM,False,16.8,False,False,
CO-0000035,11-50,Financial Services,APAC,False,33.5,False,False,
CO-0000036,11-50,Education,North America,False,3.1,False,False,
CO-0000037,201-1000,Professional Services,EMEA,False,37.2,False,False,
CO-0000038,11-50,Manufacturing,North America,False,31.1,False,False,
CO-0000039,1-10,Retail/E-commerce,EMEA,False,12.5,False,False,
CO-0000040,1-10,Retail/E-commerce,North America,False,14.7,False,False,
CO-0000041,1-10,Media/Entertainment,EMEA,True,18.0,False,False,
CO-0000042,11-50,Public Sector,APAC,False,18.9,False,False,
CO-0000043,201-1000,Healthcare,LATAM,False,52.6,False,False,
CO-0000044,11-50,Retail/E-commerce,North America,False,31.0,False,False,
CO-0000045,1-10,Technology/SaaS,North America,False,35.4,False,False,
CO-0000046,1-10,Logistics/Supply Chain,North America,False,32.3,False,False,
CO-0000047,51-200,Manufacturing,North America,False,53.0,False,False,
CO-0000048,51-200,Healthcare,APAC,False,40.0,False,False,
CO-0000049,1-10,Professional Services,North America,False,13.1,True,True,ACC-006887
