channel,month,spend,new_accounts
inbound_marketing,2023-01-01,25143.66,16
inbound_marketing,2023-02-01,45130.34,23
inbound_marketing,2023-03-01,38658.59,22
inbound_marketing,2023-04-01,26559.81,22
inbound_marketing,2023-05-01,39081.07,36
inbound_marketing,2023-06-01,39000.24,28
inbound_marketing,2023-07-01,27873.84,24
inbound_marketing,2023-08-01,46821.97,37
inbound_marketing,2023-09-01,39042.27,34
inbound_marketing,2023-10-01,66725.34,42
inbound_marketing,2023-11-01,74696.67,37
inbound_marketing,2023-12-01,43812.2,32
inbound_marketing,2024-01-01,83623.26,47
inbound_marketing,2024-02-01,54682.4,42
inbound_marketing,2024-03-01,53275.71,40
inbound_marketing,2024-04-01,56360.07,47
inbound_marketing,2024-05-01,79189.66,49
inbound_marketing,2024-06-01,40669.8,34
inbound_marketing,2024-07-01,106721.52,52
inbound_marketing,2024-08-01,79826.14,59
inbound_marketing,2024-09-01,140414.03,41
inbound_marketing,2024-10-01,101684.28,43
inbound_marketing,2024-11-01,137210.14,57
inbound_marketing,2024-12-01,91360.24,49
inbound_marketing,2025-01-01,102609.66,69
inbound_marketing,2025-02-01,66611.64,50
inbound_marketing,2025-03-01,99875.84,54
inbound_marketing,2025-04-01,79595.89,55
inbound_marketing,2025-05-01,71507.21,58
inbound_marketing,2025-06-01,97594.34,69
inbound_marketing,2025-07-01,131519.86,72
inbound_marketing,2025-08-01,91598.78,61
inbound_marketing,2025-09-01,78396.14,59
inbound_marketing,2025-10-01,130043.63,70
inbound_marketing,2025-11-01,63438.85,53
inbound_marketing,2025-12-01,99141.75,75
outbound_sdr,2023-01-01,103.69,0
outbound_sdr,2023-02-01,99.26,0
outbound_sdr,2023-03-01,82.41,0
outbound_sdr,2023-04-01,689.65,1
outbound_sdr,2023-05-01,589.07,1
outbound_sdr,2023-06-01,76.2,0
outbound_sdr,2023-07-01,108.28,0
outbound_sdr,2023-08-01,529.1,1
outbound_sdr,2023-09-01,103.48,0
outbound_sdr,2023-10-01,101.22,0
outbound_sdr,2023-11-01,1443.52,2
outbound_sdr,2023-12-01,94.64,0
outbound_sdr,2024-01-01,78.37,0
outbound_sdr,2024-02-01,83.06,0
outbound_sdr,2024-03-01,611.86,1
outbound_sdr,2024-04-01,76.23,0
outbound_sdr,2024-05-01,564.29,1
outbound_sdr,2024-06-01,613.38,1
outbound_sdr,2024-07-01,85.59,0
outbound_sdr,2024-08-01,101.7,0
outbound_sdr,2024-09-01,111.89,0
outbound_sdr,2024-10-01,83.97,0
outbound_sdr,2024-11-01,97.04,0
outbound_sdr,2024-12-01,82.94,0
outbound_sdr,2025-01-01,580.59,1
outbound_sdr,2025-02-01,78.93,0
outbound_sdr,2025-03-01,530.84,1
outbound_sdr,2025-04-01,1028.24,2
outbound_sdr,2025-05-01,84.49,0
outbound_sdr,2025-06-01,68.23,0
outbound_sdr,2025-07-01,85.19,0
outbound_sdr,2025-08-01,648.51,1
outbound_sdr,2025-09-01,86.65,0
outbound_sdr,2025-10-01,88.45,0
outbound_sdr,2025-11-01,665.37,1
outbound_sdr,2025-12-01,67.73,0
self_serve,2023-01-01,3894.97,67
self_serve,2023-02-01,5296.94,68
self_serve,2023-03-01,5132.4,86
self_serve,2023-04-01,4466.54,68
self_serve,2023-05-01,4440.31,73
self_serve,2023-06-01,3729.04,75
self_serve,2023-07-01,3925.19,68
self_serve,2023-08-01,4225.6,95
self_serve,2023-09-01,4955.94,87
self_serve,2023-10-01,5569.39,90
self_serve,2023-11-01,5433.49,105
self_serve,2023-12-01,7966.83,106
self_serve,2024-01-01,6860.9,110
self_serve,2024-02-01,5484.87,99
self_serve,2024-03-01,7125.02,125
self_serve,2024-04-01,4814.7,108
self_serve,2024-05-01,7390.18,115
self_serve,2024-06-01,7421.5,120
self_serve,2024-07-01,8258.72,121
self_serve,2024-08-01,8291.97,117
self_serve,2024-09-01,8859.03,126
self_serve,2024-10-01,9597.21,146
self_serve,2024-11-01,9692.96,155
self_serve,2024-12-01,9823.08,151
self_serve,2025-01-01,9897.35,156
self_serve,2025-02-01,8619.18,154
self_serve,2025-03-01,9435.21,144
self_serve,2025-04-01,10929.68,168
self_serve,2025-05-01,9752.01,164
self_serve,2025-06-01,8058.97,159
self_serve,2025-07-01,10941.03,168
self_serve,2025-08-01,8798.96,151
self_serve,2025-09-01,10450.2,187
self_serve,2025-10-01,11334.8,197
self_serve,2025-11-01,8809.74,157
self_serve,2025-12-01,16667.37,202
