account_id,month,segment,mrr
ACC-000000,2024-03-01,Enterprise,6191.2
ACC-000000,2024-04-01,Enterprise,42327.75
ACC-000000,2024-05-01,Enterprise,42327.75
ACC-000000,2024-06-01,Enterprise,42327.75
ACC-000000,2024-07-01,Enterprise,53199.1
ACC-000000,2024-08-01,Enterprise,47795.55
ACC-000000,2024-09-01,Enterprise,60167.4
ACC-000000,2024-10-01,Enterprise,78307.05
ACC-000000,2024-11-01,Enterprise,68178.9
ACC-000000,2024-12-01,Enterprise,59738.9
ACC-000000,2025-01-01,Enterprise,68230.55
ACC-000000,2025-02-01,Enterprise,64636.95
ACC-000000,2025-03-01,Enterprise,59559.7
ACC-000000,2025-04-01,Enterprise,72059.9
ACC-000000,2025-05-01,Enterprise,75197.8
ACC-000000,2025-06-01,Enterprise,76339.8
ACC-000000,2025-07-01,Enterprise,66390.15
ACC-000000,2025-08-01,Enterprise,66427.35
ACC-000000,2025-09-01,Enterprise,82796.25
ACC-000000,2025-10-01,Enterprise,76134.15
ACC-000000,2025-11-01,Enterprise,70845.25
ACC-000000,2025-12-01,Enterprise,62637.65
ACC-000001,2021-06-01,Enterprise,1230.75
ACC-000001,2021-07-01,Enterprise,8512.35
ACC-000001,2021-08-01,Enterprise,8512.35
ACC-000001,2021-09-01,Enterprise,8512.35
ACC-000001,2021-10-01,Enterprise,12585.75
ACC-000001,2021-11-01,Enterprise,11944.45
ACC-000001,2021-12-01,Enterprise,11956.35
ACC-000001,2022-01-01,Enterprise,12683.1
ACC-000001,2022-02-01,Enterprise,12250.95
ACC-000001,2022-03-01,Enterprise,12961.7
ACC-000001,2022-04-01,Enterprise,10855.0
ACC-000001,2022-05-01,Enterprise,10528.0
ACC-000001,2022-06-01,Enterprise,11955.75
ACC-000001,2022-07-01,Enterprise,12834.3
ACC-000001,2022-08-01,Enterprise,13747.85
ACC-000001,2022-09-01,Enterprise,13608.4
ACC-000001,2022-10-01,Enterprise,12468.25
ACC-000001,2022-11-01,Enterprise,14981.3
ACC-000001,2022-12-01,Enterprise,14209.75
ACC-000001,2023-01-01,Enterprise,16527.35
ACC-000001,2023-02-01,Enterprise,13771.35
ACC-000001,2023-03-01,Enterprise,15447.1
ACC-000001,2023-04-01,Enterprise,17658.9
ACC-000001,2023-05-01,Enterprise,13755.55
ACC-000001,2023-06-01,Enterprise,15087.35
ACC-000001,2023-07-01,Enterprise,13358.65
ACC-000001,2023-08-01,Enterprise,16350.75
ACC-000001,2023-09-01,Enterprise,15803.85
ACC-000001,2023-10-01,Enterprise,19391.3
ACC-000001,2023-11-01,Enterprise,18428.1
ACC-000001,2023-12-01,Enterprise,13592.35
ACC-000001,2024-01-01,Enterprise,19843.45
ACC-000001,2024-02-01,Enterprise,16507.95
ACC-000001,2024-03-01,Enterprise,15273.45
ACC-000001,2024-04-01,Enterprise,19372.7
ACC-000001,2024-05-01,Enterprise,20496.3
ACC-000001,2024-06-01,Enterprise,17458.05
ACC-000001,2024-07-01,Enterprise,16982.65
ACC-000001,2024-08-01,Enterprise,17141.25
ACC-000001,2024-09-01,Enterprise,19846.8
ACC-000001,2024-10-01,Enterprise,19197.2
ACC-000001,2024-11-01,Enterprise,19122.05
ACC-000001,2024-12-01,Enterprise,22016.25
ACC-000001,2025-01-01,Enterprise,25023.9
ACC-000001,2025-02-01,Enterprise,21346.3
ACC-000001,2025-03-01,Enterprise,21886.8
ACC-000001,2025-04-01,Enterprise,20225.0
ACC-000001,2025-05-01,Enterprise,18582.25
ACC-000001,2025-06-01,Enterprise,22686.3
ACC-000001,2025-07-01,Enterprise,18595.95
ACC-000001,2025-08-01,Enterprise,23308.35
ACC-000001,2025-09-01,Enterprise,21647.25
ACC-000001,2025-10-01,Enterprise,23026.2
ACC-000001,2025-11-01,Enterprise,27408.25
ACC-000001,2025-12-01,Enterprise,21425.55
ACC-000002,2025-10-01,Enterprise,2084.45
ACC-000002,2025-11-01,Enterprise,14613.05
ACC-000002,2025-12-01,Enterprise,15334.25
ACC-000003,2024-01-01,Enterprise,4191.55
ACC-000003,2024-02-01,Enterprise,32188.9
