opportunity_id,account_id,company_id,segment,opportunity_type,owner_role,rep_id,is_won,loss_reason,forecast_category,amount,list_price,discount_rate,poc_outcome,created_date,close_date
OPP-0000000,ACC-000221,CO-0061482,Commercial,new_business,ISR,REP-00001,True,,Commit,29228.77,32441.98,0.099,,2019-12-01,2020-01-13
OPP-0000001,ACC-000288,CO-0045613,Commercial,new_business,ISR,REP-00002,True,,Commit,20929.12,22876.71,0.0851,,2019-12-22,2020-01-30
OPP-0000002,ACC-003497,CO-0096411,SMB,new_business,system,,True,,Commit,1547.21,1597.86,0.0317,,2020-01-02,2020-01-02
OPP-0000003,ACC-005939,CO-0033073,SMB,new_business,system,,True,,Commit,761.41,781.52,0.0257,,2020-01-02,2020-01-02
OPP-0000004,ACC-003916,CO-0110150,SMB,new_business,system,,True,,Commit,1078.95,1099.69,0.0189,,2020-01-03,2020-01-03
OPP-0000005,ACC-005479,CO-0034084,SMB,new_business,system,,True,,Commit,4029.62,4125.06,0.0231,,2020-01-05,2020-01-05
OPP-0000006,ACC-006848,CO-0110529,SMB,new_business,system,,True,,Commit,1963.96,2038.91,0.0368,,2020-01-05,2020-01-05
OPP-0000007,ACC-007600,CO-0019558,SMB,new_business,system,,True,,Commit,1554.77,1619.05,0.0397,,2020-01-07,2020-01-07
OPP-0000008,ACC-000574,CO-0110626,SMB,new_business,system,,True,,Commit,3454.38,3502.2,0.0137,,2020-01-08,2020-01-08
OPP-0000009,ACC-003791,CO-0118283,SMB,new_business,system,,True,,Commit,953.1,984.57,0.032,,2020-01-08,2020-01-08
OPP-0000010,ACC-003807,CO-0103983,SMB,new_business,system,,True,,Commit,1240.02,1287.76,0.0371,,2020-01-10,2020-01-10
OPP-0000011,ACC-000777,CO-0115026,SMB,new_business,system,,True,,Commit,2553.83,2658.29,0.0393,,2020-01-11,2020-01-11
OPP-0000012,ACC-000921,CO-0006263,SMB,new_business,system,,True,,Commit,1310.24,1328.34,0.0136,,2020-01-11,2020-01-11
OPP-0000013,ACC-004732,CO-0008602,SMB,new_business,system,,True,,Commit,736.63,741.38,0.0064,,2020-01-11,2020-01-11
OPP-0000014,ACC-005884,CO-0010241,SMB,new_business,system,,True,,Commit,2685.33,2794.84,0.0392,,2020-01-11,2020-01-11
OPP-0000015,ACC-000106,CO-0075213,Enterprise,new_business,AE,REP-00000,True,,Commit,253042.34,303868.97,0.1673,fail,2020-01-13,2020-07-08
OPP-0000016,ACC-001192,CO-0009593,SMB,new_business,system,,True,,Commit,4923.48,5045.31,0.0241,,2020-01-13,2020-01-13
OPP-0000017,ACC-004677,CO-0102640,SMB,new_business,system,,True,,Commit,1305.71,1316.61,0.0083,,2020-01-14,2020-01-14
OPP-0000018,ACC-001969,CO-0085879,SMB,new_business,system,,True,,Commit,2359.03,2480.73,0.0491,,2020-01-15,2020-01-15
OPP-0000019,ACC-003474,CO-0076876,SMB,new_business,system,,True,,Commit,1442.26,1469.12,0.0183,,2020-01-15,2020-01-15
OPP-0000020,ACC-000746,CO-0005562,SMB,new_business,system,,True,,Commit,3116.83,3275.75,0.0485,,2020-01-16,2020-01-16
OPP-0000021,ACC-005347,CO-0058483,SMB,new_business,system,,True,,Commit,2197.96,2278.81,0.0355,,2020-01-17,2020-01-17
OPP-0000022,ACC-001716,CO-0056824,SMB,new_business,system,,True,,Commit,1047.23,1083.97,0.0339,,2020-01-18,2020-01-18
OPP-0000023,ACC-005065,CO-0100271,SMB,new_business,system,,True,,Commit,1346.33,1362.33,0.0117,,2020-01-19,2020-01-19
OPP-0000024,ACC-004537,CO-0002337,SMB,new_business,system,,True,,Commit,822.43,842.45,0.0238,,2020-01-20,2020-01-20
OPP-0000025,ACC-005025,CO-0033160,SMB,new_business,system,,True,,Commit,2465.75,2524.02,0.0231,,2020-01-20,2020-01-20
OPP-0000026,ACC-002051,CO-0096197,SMB,new_business,system,,True,,Commit,1871.03,1902.02,0.0163,,2020-01-21,2020-01-21
OPP-0000027,ACC-003501,CO-0030310,SMB,new_business,system,,True,,Commit,1671.04,1738.8,0.039,,2020-01-21,2020-01-21
OPP-0000028,ACC-007517,CO-0118583,SMB,new_business,system,,True,,Commit,2275.35,2315.06,0.0172,,2020-01-21,2020-01-21
OPP-0000029,ACC-005267,CO-0087918,SMB,new_business,system,,True,,Commit,3313.21,3367.61,0.0162,,2020-01-22,2020-01-22
OPP-0000030,ACC-006030,CO-0095926,SMB,new_business,system,,True,,Commit,1508.27,1582.34,0.0468,,2020-01-23,2020-01-23
OPP-0000031,ACC-006727,CO-0013546,SMB,new_business,system,,True,,Commit,4676.51,4884.62,0.0426,,2020-01-23,2020-01-23
OPP-0000032,ACC-002909,CO-0086611,SMB,new_business,system,,True,,Commit,2344.42,2390.16,0.0191,,2020-01-24,2020-01-24
OPP-0000033,ACC-004220,CO-0114988,SMB,new_business,system,,True,,Commit,1675.16,1736.63,0.0354,,2020-01-24,2020-01-24
OPP-0000034,ACC-001902,CO-0001565,SMB,new_business,system,,True,,Commit,1827.14,1886.76,0.0316,,2020-01-25,2020-01-25
OPP-0000035,ACC-002938,CO-0098002,SMB,new_business,system,,True,,Commit,1214.0,1225.38,0.0093,,2020-01-25,2020-01-25
OPP-0000036,ACC-006492,CO-0055108,SMB,new_business,system,,True,,Commit,3753.11,3898.2,0.0372,,2020-01-26,2020-01-26
OPP-0000037,ACC-003212,CO-0014473,SMB,new_business,system,,True,,Commit,3477.21,3650.84,0.0476,,2020-01-27,2020-01-27
OPP-0000038,ACC-004944,CO-0021680,SMB,new_business,system,,True,,Commit,2507.47,2535.91,0.0112,,2020-01-27,2020-01-27
OPP-0000039,ACC-003590,CO-0104372,SMB,new_business,system,,True,,Commit,2233.75,2270.06,0.016,,2020-01-28,2020-01-28
OPP-0000040,ACC-000339,CO-0039624,Commercial,new_business,ISR,REP-00007,True,,Commit,16627.02,18599.13,0.106,,2020-01-29,2020-02-12
OPP-0000041,ACC-005755,CO-0120781,SMB,new_business,system,,True,,Commit,1090.7,1117.15,0.0237,,2020-01-31,2020-01-31
OPP-0000042,ACC-004654,CO-0065394,SMB,new_business,system,,True,,Commit,2073.66,2095.97,0.0106,,2020-02-03,2020-02-03
OPP-0000043,ACC-004962,CO-0093554,SMB,new_business,system,,True,,Commit,765.0,790.1,0.0318,,2020-02-03,2020-02-03
OPP-0000044,ACC-006241,CO-0009573,SMB,new_business,system,,True,,Commit,2895.21,2987.0,0.0307,,2020-02-03,2020-02-03
OPP-0000045,ACC-006761,CO-0016908,SMB,new_business,system,,True,,Commit,1686.24,1738.24,0.0299,,2020-02-04,2020-02-04
OPP-0000046,ACC-007195,CO-0038770,SMB,new_business,system,,True,,Commit,1092.5,1107.23,0.0133,,2020-02-05,2020-02-05
OPP-0000047,ACC-007224,CO-0079197,SMB,new_business,system,,True,,Commit,3256.9,3337.1,0.024,,2020-02-05,2020-02-05
OPP-0000048,ACC-007470,CO-0088475,SMB,new_business,system,,True,,Commit,2772.87,2797.56,0.0088,,2020-02-05,2020-02-05
OPP-0000049,ACC-003602,CO-0108524,SMB,new_business,system,,True,,Commit,2228.54,2246.78,0.0081,,2020-02-06,2020-02-06
OPP-0000050,ACC-007260,CO-0111697,SMB,new_business,system,,True,,Commit,1624.31,1686.12,0.0367,,2020-02-06,2020-02-06
