opportunity_id,stage,entered_date
OPP-0000000,SAL,2019-12-04
OPP-0000000,SQO,2019-12-22
OPP-0000000,Proposal/Negotiation,2020-01-02
OPP-0000000,Closed Won,2020-01-13
OPP-0000001,SAL,2019-12-27
OPP-0000001,SQO,2019-12-28
OPP-0000001,Proposal/Negotiation,2020-01-29
OPP-0000001,Closed Won,2020-01-30
OPP-0000015,SAL,2020-01-21
OPP-0000015,SQO,2020-03-02
OPP-0000015,POC,2020-04-09
OPP-0000015,Proposal/Negotiation,2020-07-05
OPP-0000015,Closed Won,2020-07-08
OPP-0000040,SAL,2020-01-31
OPP-0000040,SQO,2020-02-03
OPP-0000040,Proposal/Negotiation,2020-02-05
OPP-0000040,Closed Won,2020-02-12
OPP-0000092,SAL,2020-03-22
OPP-0000092,SQO,2020-04-16
OPP-0000092,Proposal/Negotiation,2020-04-16
OPP-0000092,Closed Won,2020-04-17
OPP-0000130,SAL,2020-04-24
OPP-0000130,SQO,2020-04-24
OPP-0000130,Proposal/Negotiation,2020-05-06
OPP-0000130,Closed Won,2020-06-02
OPP-0000142,SAL,2020-05-15
OPP-0000142,SQO,2020-05-20
OPP-0000142,Proposal/Negotiation,2020-05-29
OPP-0000142,Closed Won,2020-05-29
OPP-0000167,SAL,2020-05-20
OPP-0000167,SQO,2020-06-03
OPP-0000167,POC,2020-08-01
OPP-0000167,Proposal/Negotiation,2020-08-02
OPP-0000167,Closed Won,2020-09-19
OPP-0000178,SAL,2020-06-28
OPP-0000178,SQO,2020-07-04
OPP-0000178,Proposal/Negotiation,2020-07-04
OPP-0000178,Closed Won,2020-07-12
OPP-0000181,SAL,2020-06-09
OPP-0000181,SQO,2020-09-02
OPP-0000181,POC,2020-10-23
OPP-0000181,Proposal/Negotiation,2020-10-26
OPP-0000181,Closed Won,2020-11-16
OPP-0000205,Open,2020-06-22
OPP-0000205,Negotiation,2020-06-23
OPP-0000205,Closed Won,2020-07-01
OPP-0000222,SAL,2020-06-27
OPP-0000222,SQO,2020-07-06
OPP-0000222,Proposal/Negotiation,2020-07-11
OPP-0000222,Closed Won,2020-07-14
OPP-0000226,SAL,2020-07-04
OPP-0000226,SQO,2020-07-19
OPP-0000226,Proposal/Negotiation,2020-07-26
OPP-0000226,Closed Won,2020-07-29
OPP-0000230,SAL,2020-07-09
OPP-0000230,SQO,2020-07-19
OPP-0000230,Proposal/Negotiation,2020-07-29
OPP-0000230,Closed Won,2020-08-11
OPP-0000236,SAL,2020-07-05
OPP-0000236,SQO,2020-07-06
OPP-0000236,Proposal/Negotiation,2020-07-24
OPP-0000236,Closed Won,2020-07-31
OPP-0000257,SAL,2020-08-11
OPP-0000257,SQO,2020-08-17
OPP-0000257,POC,2020-10-18
OPP-0000257,Proposal/Negotiation,2020-10-29
OPP-0000257,Closed Won,2020-12-03
