rep_id,effective_date,amount
REP-00000,2019-01-01,84900.0
REP-00000,2019-04-01,86600.0
REP-00000,2019-07-01,88300.0
REP-00000,2019-10-01,90000.0
REP-00000,2020-01-01,91700.0
REP-00000,2020-04-01,93400.0
REP-00000,2020-07-01,95100.0
REP-00000,2020-10-01,96800.0
REP-00000,2021-01-01,98500.0
REP-00000,2021-04-01,100200.0
REP-00000,2021-07-01,101900.0
REP-00000,2021-10-01,103600.0
REP-00000,2022-01-01,105300.0
REP-00000,2022-04-01,107000.0
REP-00000,2022-07-01,108700.0
REP-00000,2022-10-01,110400.0
REP-00000,2023-01-01,112100.0
REP-00000,2023-04-01,113800.0
REP-00000,2023-07-01,115500.0
REP-00000,2023-10-01,117200.0
REP-00000,2024-01-01,118900.0
REP-00000,2024-04-01,120600.0
REP-00000,2024-07-01,122300.0
REP-00000,2024-10-01,124000.0
REP-00000,2025-01-01,125700.0
REP-00000,2025-04-01,127400.0
REP-00000,2025-07-01,129100.0
REP-00000,2025-10-01,130800.0
REP-00001,2019-01-01,23600.0
REP-00001,2019-04-01,24100.0
REP-00001,2019-07-01,24600.0
REP-00001,2019-10-01,25100.0
REP-00001,2020-01-01,25500.0
REP-00001,2020-04-01,26000.0
REP-00001,2020-07-01,26500.0
REP-00001,2020-10-01,26900.0
REP-00001,2021-01-01,27400.0
REP-00001,2021-04-01,27900.0
REP-00001,2021-07-01,28400.0
REP-00001,2021-10-01,28800.0
REP-00001,2022-01-01,29300.0
REP-00001,2022-04-01,29800.0
REP-00001,2022-07-01,30300.0
REP-00001,2022-10-01,30700.0
REP-00001,2023-01-01,31200.0
REP-00001,2023-04-01,31700.0
REP-00001,2023-07-01,32200.0
REP-00001,2023-10-01,32600.0
REP-00001,2024-01-01,33100.0
REP-00001,2024-04-01,33600.0
REP-00001,2024-07-01,34000.0
REP-00001,2024-10-01,34500.0
REP-00001,2025-01-01,35000.0
REP-00001,2025-04-01,35500.0
REP-00001,2025-07-01,35900.0
REP-00001,2025-10-01,36400.0
REP-00002,2019-04-01,29600.0
REP-00002,2019-07-01,30100.0
REP-00002,2019-10-01,30700.0
REP-00002,2020-01-01,31300.0
REP-00002,2020-04-01,31900.0
REP-00002,2020-07-01,32500.0
REP-00002,2020-10-01,33100.0
REP-00002,2021-01-01,33700.0
REP-00002,2021-04-01,34300.0
REP-00002,2021-07-01,34900.0
REP-00002,2021-10-01,35500.0
REP-00002,2022-01-01,36100.0
REP-00002,2022-04-01,36700.0
REP-00002,2022-07-01,37200.0
REP-00002,2022-10-01,37800.0
REP-00002,2023-01-01,38400.0
REP-00002,2023-04-01,39000.0
REP-00002,2023-07-01,39600.0
REP-00002,2023-10-01,40200.0
REP-00002,2024-01-01,40800.0
REP-00002,2024-04-01,41400.0
REP-00002,2024-07-01,42000.0
REP-00002,2024-10-01,42600.0
REP-00002,2025-01-01,43200.0
REP-00002,2025-04-01,43700.0
REP-00002,2025-07-01,44300.0
REP-00002,2025-10-01,44900.0
REP-00007,2019-07-01,25500.0
REP-00007,2019-10-01,26000.0
REP-00007,2020-01-01,26500.0
REP-00007,2020-04-01,27000.0
REP-00007,2020-07-01,27500.0
REP-00007,2020-10-01,28000.0
REP-00007,2021-01-01,28500.0
REP-00007,2021-04-01,29000.0
REP-00007,2021-07-01,29500.0
REP-00007,2021-10-01,30000.0
REP-00007,2022-01-01,30500.0
REP-00007,2022-04-01,31100.0
REP-00007,2022-07-01,31600.0
REP-00007,2022-10-01,32100.0
REP-00007,2023-01-01,32600.0
REP-00007,2023-04-01,33100.0
REP-00007,2023-07-01,33600.0
REP-00007,2023-10-01,34100.0
REP-00007,2024-01-01,34600.0
REP-00007,2024-04-01,35100.0
REP-00007,2024-07-01,35600.0
REP-00007,2024-10-01,36100.0
