rep_id,status,effective_date
REP-00000,active,2019-01-12
REP-00001,active,2019-02-25
REP-00002,active,2019-04-27
REP-00002,departed,2025-07-07
REP-00003,active,2019-05-23
REP-00004,active,2019-06-18
REP-00005,active,2019-07-06
REP-00006,active,2019-07-25
REP-00007,active,2019-07-25
REP-00008,active,2019-10-20
REP-00009,active,2019-12-17
REP-00010,active,2019-12-26
REP-00011,active,2020-02-10
REP-00011,departed,2021-10-29
REP-00012,active,2020-02-26
REP-00013,active,2020-07-20
REP-00014,active,2020-09-28
REP-00015,active,2020-10-04
REP-00016,active,2020-11-02
REP-00017,active,2020-11-19
REP-00017,departed,2021-12-23
REP-00018,active,2020-11-20
REP-00019,active,2021-01-09
REP-00019,departed,2024-07-01
REP-00020,active,2021-03-23
REP-00021,active,2021-04-06
REP-00022,active,2021-04-11
REP-00023,active,2021-04-19
REP-00024,active,2021-07-19
REP-00025,active,2021-08-14
REP-00026,active,2021-08-29
REP-00027,active,2021-09-03
REP-00027,departed,2022-03-22
REP-00028,active,2021-09-24
REP-00029,active,2021-10-20
REP-00030,active,2021-10-27
REP-00031,active,2022-01-22
REP-00032,active,2022-01-27
REP-00033,active,2022-02-14
REP-00034,active,2022-02-14
REP-00035,active,2022-02-23
REP-00036,active,2022-03-10
REP-00037,active,2022-03-21
REP-00038,active,2022-03-22
REP-00039,active,2022-05-01
REP-00040,active,2022-05-01
REP-00041,active,2022-05-14
REP-00041,departed,2023-05-26
REP-00042,active,2022-06-03
REP-00043,active,2022-08-05
REP-00044,active,2023-02-01
REP-00045,active,2023-02-22
REP-00046,active,2023-02-28
REP-00047,active,2023-04-19
REP-00048,active,2023-08-03
REP-00049,active,2023-08-12
REP-00050,active,2023-10-20
REP-00050,departed,2024-04-30
REP-00051,active,2023-10-23
REP-00052,active,2023-11-15
REP-00053,active,2023-12-19
REP-00054,active,2024-02-09
REP-00055,active,2024-03-12
REP-00056,active,2024-07-13
REP-00057,active,2024-08-04
REP-00058,active,2024-08-09
REP-00059,active,2024-09-22
REP-00060,active,2024-10-26
REP-00061,active,2025-04-03
REP-00062,active,2025-04-16
REP-00062,departed,2025-10-28
REP-00063,active,2025-06-10
REP-00064,active,2025-06-21
REP-00065,active,2025-10-05
REP-00066,active,2025-10-12
