subscription_id,account_id,segment,start_date,end_date,contract_type,committed_actions_monthly,status
SUB-0000001,ACC-000479,SMB,2025-07-09,,metered_month_to_month,,active
SUB-0000002,ACC-000480,SMB,2025-12-01,,metered_month_to_month,,active
SUB-0000003,ACC-000481,SMB,2022-12-25,,metered_month_to_month,,active
SUB-0000004,ACC-000482,SMB,2025-05-01,,metered_month_to_month,,active
SUB-0000005,ACC-000483,SMB,2020-10-18,,metered_month_to_month,,active
SUB-0000006,ACC-000484,SMB,2022-07-27,2025-05-27,metered_month_to_month,,churned
SUB-0000007,ACC-000485,SMB,2025-11-18,,metered_month_to_month,,active
SUB-0000008,ACC-000486,SMB,2024-10-15,,metered_month_to_month,,active
SUB-0000009,ACC-000487,SMB,2025-08-09,,metered_month_to_month,,active
SUB-0000010,ACC-000488,SMB,2025-12-07,,metered_month_to_month,,active
SUB-0000011,ACC-000489,SMB,2024-12-17,,metered_month_to_month,,active
SUB-0000012,ACC-000490,SMB,2025-09-10,,metered_month_to_month,,active
SUB-0000013,ACC-000491,SMB,2024-02-22,,metered_month_to_month,,active
SUB-0000014,ACC-000492,SMB,2024-03-10,,metered_month_to_month,,active
SUB-0000015,ACC-000493,SMB,2024-10-15,,metered_month_to_month,,active
SUB-0000016,ACC-000494,SMB,2024-11-24,,metered_month_to_month,,active
SUB-0000017,ACC-000495,SMB,2025-06-01,2025-08-01,metered_month_to_month,,churned
SUB-0000018,ACC-000496,SMB,2025-10-25,,metered_month_to_month,,active
SUB-0000019,ACC-000497,SMB,2023-06-20,,metered_month_to_month,,active
SUB-0000020,ACC-000498,SMB,2025-10-18,,metered_month_to_month,,active
SUB-0000021,ACC-000499,SMB,2025-05-27,,metered_month_to_month,,active
SUB-0000022,ACC-000500,SMB,2025-09-13,,metered_month_to_month,,active
SUB-0000023,ACC-000501,SMB,2025-01-04,,metered_month_to_month,,active
SUB-0000024,ACC-000502,SMB,2024-11-19,,metered_month_to_month,,active
SUB-0000025,ACC-000503,SMB,2024-08-17,2025-09-17,metered_month_to_month,,churned
SUB-0000026,ACC-000504,SMB,2024-03-10,2024-05-10,metered_month_to_month,,churned
SUB-0000027,ACC-000505,SMB,2024-08-02,,metered_month_to_month,,active
SUB-0000028,ACC-000506,SMB,2023-05-21,,metered_month_to_month,,active
SUB-0000029,ACC-000507,SMB,2023-01-22,,metered_month_to_month,,active
SUB-0000030,ACC-000508,SMB,2022-03-31,,metered_month_to_month,,active
SUB-0000031,ACC-000509,SMB,2024-08-24,,metered_month_to_month,,active
SUB-0000032,ACC-000510,SMB,2024-08-06,,metered_month_to_month,,active
SUB-0000033,ACC-000511,SMB,2025-10-09,,metered_month_to_month,,active
SUB-0000034,ACC-000512,SMB,2025-06-19,,metered_month_to_month,,active
SUB-0000035,ACC-000513,SMB,2025-01-11,,metered_month_to_month,,active
SUB-0000036,ACC-000515,SMB,2023-01-25,,metered_month_to_month,,active
SUB-0000037,ACC-000516,SMB,2024-10-02,2025-10-02,metered_month_to_month,,churned
SUB-0000038,ACC-000517,SMB,2024-04-09,,metered_month_to_month,,active
SUB-0000039,ACC-000518,SMB,2024-04-01,,metered_month_to_month,,active
SUB-0000040,ACC-000519,SMB,2022-01-09,,metered_month_to_month,,active
SUB-0000041,ACC-000520,SMB,2024-08-12,2024-12-12,metered_month_to_month,,churned
SUB-0000042,ACC-000521,SMB,2025-02-05,,metered_month_to_month,,active
SUB-0000043,ACC-000522,SMB,2024-02-24,2024-09-24,metered_month_to_month,,churned
SUB-0000044,ACC-000523,SMB,2023-07-24,,metered_month_to_month,,active
SUB-0000045,ACC-000524,SMB,2023-12-27,,metered_month_to_month,,active
SUB-0000046,ACC-000525,SMB,2024-10-12,,metered_month_to_month,,active
SUB-0000047,ACC-000526,SMB,2024-01-09,2024-12-09,metered_month_to_month,,churned
SUB-0000048,ACC-000527,SMB,2022-02-24,2023-06-24,metered_month_to_month,,churned
SUB-0000049,ACC-000530,SMB,2025-04-09,,metered_month_to_month,,active
SUB-0000050,ACC-000531,SMB,2025-01-11,,metered_month_to_month,,active
