ticket_id,account_id,segment,created_date,resolved_date,severity,resolution_time_hours,csat_score
TCK-0000001,ACC-000000,Enterprise,2024-03-27,2024-03-27,medium,21.5,
TCK-0000002,ACC-000000,Enterprise,2024-04-02,2024-04-02,low,17.1,
TCK-0000003,ACC-000000,Enterprise,2024-05-03,2024-05-03,low,10.3,
TCK-0000004,ACC-000000,Enterprise,2024-05-05,2024-05-05,medium,22.2,3.0
TCK-0000005,ACC-000000,Enterprise,2024-06-04,2024-06-04,low,8.6,5.0
TCK-0000006,ACC-000000,Enterprise,2024-07-06,2024-07-09,high,77.0,
TCK-0000007,ACC-000000,Enterprise,2024-07-07,2024-07-08,high,40.3,
TCK-0000008,ACC-000000,Enterprise,2024-07-23,2024-07-23,low,6.0,4.0
TCK-0000009,ACC-000000,Enterprise,2024-10-15,2024-10-16,medium,25.5,4.0
TCK-0000010,ACC-000000,Enterprise,2025-01-25,2025-01-25,low,19.8,
TCK-0000011,ACC-000000,Enterprise,2025-01-14,2025-01-16,medium,52.7,
TCK-0000012,ACC-000000,Enterprise,2025-07-13,2025-07-13,low,16.3,
TCK-0000013,ACC-000000,Enterprise,2025-07-18,2025-07-18,low,19.1,4.0
TCK-0000014,ACC-000000,Enterprise,2025-10-21,2025-10-21,low,15.7,
TCK-0000015,ACC-000001,Enterprise,2021-06-23,2021-06-23,low,15.1,
TCK-0000016,ACC-000001,Enterprise,2021-07-28,2021-07-28,low,5.0,
TCK-0000017,ACC-000001,Enterprise,2021-10-10,2021-10-10,low,3.5,
TCK-0000018,ACC-000001,Enterprise,2022-01-11,2022-01-13,medium,60.3,
TCK-0000019,ACC-000001,Enterprise,2022-02-19,2022-02-20,high,29.9,
TCK-0000020,ACC-000001,Enterprise,2022-04-17,2022-04-17,low,19.0,3.0
TCK-0000021,ACC-000001,Enterprise,2022-06-27,2022-06-27,low,21.9,5.0
TCK-0000022,ACC-000001,Enterprise,2022-12-31,2022-12-31,low,16.1,4.0
TCK-0000023,ACC-000001,Enterprise,2023-02-12,2023-02-12,low,8.0,
TCK-0000024,ACC-000001,Enterprise,2023-06-17,2023-06-17,low,23.8,
TCK-0000025,ACC-000001,Enterprise,2023-11-18,2023-11-19,medium,46.0,4.0
TCK-0000026,ACC-000001,Enterprise,2024-02-18,2024-02-20,medium,58.7,4.0
TCK-0000027,ACC-000001,Enterprise,2024-02-04,2024-02-04,low,8.9,4.0
TCK-0000028,ACC-000001,Enterprise,2024-04-07,2024-04-08,critical,29.7,3.0
TCK-0000029,ACC-000001,Enterprise,2024-06-19,2024-06-19,low,19.6,4.0
TCK-0000030,ACC-000001,Enterprise,2025-03-09,2025-03-09,low,7.0,
TCK-0000031,ACC-000001,Enterprise,2025-08-02,2025-08-02,low,6.0,3.0
TCK-0000032,ACC-000002,Enterprise,2025-11-10,2025-11-12,medium,57.6,4.0
TCK-0000033,ACC-000002,Enterprise,2025-12-25,,medium,,
TCK-0000034,ACC-000003,Enterprise,2024-01-26,2024-01-26,low,1.5,
TCK-0000035,ACC-000003,Enterprise,2024-02-09,2024-02-11,medium,64.1,4.0
TCK-0000036,ACC-000003,Enterprise,2024-02-24,2024-02-24,low,2.4,5.0
TCK-0000037,ACC-000003,Enterprise,2024-04-12,2024-04-12,low,20.9,
TCK-0000038,ACC-000003,Enterprise,2024-09-09,2024-09-09,low,8.9,
TCK-0000039,ACC-000003,Enterprise,2025-01-09,2025-01-09,low,6.6,5.0
TCK-0000040,ACC-000003,Enterprise,2025-05-14,2025-05-15,medium,41.2,
TCK-0000041,ACC-000003,Enterprise,2025-06-03,2025-06-04,medium,36.3,3.0
TCK-0000042,ACC-000003,Enterprise,2025-10-30,2025-10-30,low,6.2,5.0
TCK-0000043,ACC-000003,Enterprise,2025-10-14,2025-10-14,low,14.0,
TCK-0000044,ACC-000003,Enterprise,2025-10-11,2025-10-11,medium,19.6,3.0
TCK-0000045,ACC-000004,Enterprise,2025-10-15,2025-10-15,low,9.0,5.0
TCK-0000046,ACC-000004,Enterprise,2025-10-21,2025-10-21,low,8.7,
TCK-0000047,ACC-000004,Enterprise,2025-10-25,2025-10-25,low,3.5,5.0
TCK-0000048,ACC-000004,Enterprise,2025-12-06,,low,,
TCK-0000049,ACC-000005,Enterprise,2023-12-01,2023-12-01,low,19.7,5.0
TCK-0000050,ACC-000005,Enterprise,2024-01-15,2024-01-15,low,11.3,5.0
TCK-0000051,ACC-000005,Enterprise,2024-06-15,2024-06-17,medium,49.7,
TCK-0000052,ACC-000005,Enterprise,2024-10-04,2024-10-07,high,93.9,2.0
TCK-0000053,ACC-000005,Enterprise,2024-11-20,2024-11-20,low,5.0,4.0
TCK-0000054,ACC-000005,Enterprise,2025-02-14,2025-02-14,low,14.1,4.0
TCK-0000055,ACC-000005,Enterprise,2025-05-31,2025-05-31,low,5.7,
TCK-0000056,ACC-000005,Enterprise,2025-08-16,2025-08-16,low,17.3,
TCK-0000057,ACC-000005,Enterprise,2025-10-23,2025-10-23,low,18.0,5.0
TCK-0000058,ACC-000006,Enterprise,2024-12-22,2024-12-24,medium,49.1,
TCK-0000059,ACC-000006,Enterprise,2024-12-21,2024-12-21,low,23.1,5.0
TCK-0000060,ACC-000006,Enterprise,2025-01-24,2025-01-24,low,16.3,4.0
TCK-0000061,ACC-000006,Enterprise,2025-03-29,2025-03-30,medium,32.8,
TCK-0000062,ACC-000006,Enterprise,2025-03-01,2025-03-03,medium,53.2,
TCK-0000063,ACC-000006,Enterprise,2025-04-03,2025-04-03,low,8.3,4.0
TCK-0000064,ACC-000006,Enterprise,2025-09-05,2025-09-05,low,11.5,
TCK-0000065,ACC-000006,Enterprise,2025-09-15,2025-09-15,low,6.3,4.0
TCK-0000066,ACC-000006,Enterprise,2025-11-12,2025-11-12,high,21.9,
TCK-0000067,ACC-000006,Enterprise,2025-11-07,2025-11-07,low,19.6,
TCK-0000068,ACC-000006,Enterprise,2025-12-11,,low,,
TCK-0000069,ACC-000006,Enterprise,2025-12-29,,low,,
TCK-0000070,ACC-000007,Enterprise,2024-08-28,2024-08-28,low,5.1,
TCK-0000071,ACC-000007,Enterprise,2024-09-12,2024-09-12,low,20.7,
TCK-0000072,ACC-000007,Enterprise,2024-10-08,2024-10-08,low,1.2,4.0
TCK-0000073,ACC-000007,Enterprise,2024-10-19,2024-10-19,low,12.2,
TCK-0000074,ACC-000007,Enterprise,2024-10-12,2024-10-12,low,4.6,4.0
TCK-0000075,ACC-000007,Enterprise,2024-11-03,2024-11-03,low,15.1,
TCK-0000076,ACC-000007,Enterprise,2024-11-06,2024-11-07,medium,29.0,3.0
TCK-0000077,ACC-000007,Enterprise,2025-05-13,2025-05-13,low,11.8,
TCK-0000078,ACC-000007,Enterprise,2025-08-12,2025-08-14,high,70.5,
TCK-0000079,ACC-000007,Enterprise,2025-08-09,2025-08-09,low,12.5,4.0
TCK-0000080,ACC-000007,Enterprise,2025-10-18,2025-10-20,high,65.4,
TCK-0000081,ACC-000008,Enterprise,2024-04-20,2024-04-22,high,67.3,4.0
TCK-0000082,ACC-000008,Enterprise,2024-04-30,2024-04-30,low,20.5,
TCK-0000083,ACC-000008,Enterprise,2024-05-23,2024-05-23,low,9.8,
TCK-0000084,ACC-000008,Enterprise,2024-06-22,2024-06-22,low,8.4,
TCK-0000085,ACC-000008,Enterprise,2024-07-28,2024-07-29,critical,35.6,
TCK-0000086,ACC-000008,Enterprise,2024-11-04,2024-11-08,high,114.6,
TCK-0000087,ACC-000008,Enterprise,2025-05-27,2025-05-27,low,18.3,5.0
TCK-0000088,ACC-000008,Enterprise,2025-06-28,2025-06-29,medium,29.3,
TCK-0000089,ACC-000008,Enterprise,2025-06-19,2025-06-20,medium,33.8,4.0
TCK-0000090,ACC-000008,Enterprise,2025-09-10,2025-09-11,medium,26.7,
TCK-0000091,ACC-000008,Enterprise,2025-11-02,2025-11-02,low,9.3,
TCK-0000092,ACC-000008,Enterprise,2025-12-15,,medium,,
TCK-0000093,ACC-000009,Enterprise,2021-09-21,2021-09-23,medium,66.2,3.0
TCK-0000094,ACC-000009,Enterprise,2021-11-21,2021-11-21,low,17.4,3.0
TCK-0000095,ACC-000009,Enterprise,2022-01-02,2022-01-02,low,16.1,
TCK-0000096,ACC-000009,Enterprise,2022-01-02,2022-01-04,high,49.9,
TCK-0000097,ACC-000009,Enterprise,2022-04-07,2022-04-07,low,11.2,3.0
TCK-0000098,ACC-000009,Enterprise,2022-05-24,2022-05-24,low,14.1,
TCK-0000099,ACC-000009,Enterprise,2022-12-02,2022-12-03,medium,34.2,4.0
TCK-0000100,ACC-000009,Enterprise,2023-01-11,2023-01-12,medium,24.1,
TCK-0000101,ACC-000009,Enterprise,2023-04-21,2023-04-21,low,17.8,4.0
TCK-0000102,ACC-000009,Enterprise,2023-07-20,2023-07-20,low,11.2,5.0
TCK-0000103,ACC-000009,Enterprise,2023-07-29,2023-07-29,low,22.8,4.0
