account_id,month,segment,actions_consumed,active_workflows
ACC-000000,2024-03-01,Enterprise,123824,56
ACC-000000,2024-04-01,Enterprise,231389,76
ACC-000000,2024-05-01,Enterprise,394334,99
ACC-000000,2024-06-01,Enterprise,625494,125
ACC-000000,2024-07-01,Enterprise,1063982,163
ACC-000000,2024-08-01,Enterprise,955911,155
ACC-000000,2024-09-01,Enterprise,1203348,173
ACC-000000,2024-10-01,Enterprise,1566141,198
ACC-000000,2024-11-01,Enterprise,1363578,185
ACC-000000,2024-12-01,Enterprise,1194778,173
ACC-000000,2025-01-01,Enterprise,1364611,185
ACC-000000,2025-02-01,Enterprise,1292739,180
ACC-000000,2025-03-01,Enterprise,1191194,173
ACC-000000,2025-04-01,Enterprise,1441198,190
ACC-000000,2025-05-01,Enterprise,1503956,194
ACC-000000,2025-06-01,Enterprise,1526796,195
ACC-000000,2025-07-01,Enterprise,1327803,182
ACC-000000,2025-08-01,Enterprise,1328547,182
ACC-000000,2025-09-01,Enterprise,1655925,203
ACC-000000,2025-10-01,Enterprise,1522683,195
ACC-000000,2025-11-01,Enterprise,1416905,188
ACC-000000,2025-12-01,Enterprise,1252753,177
ACC-000001,2021-06-01,Enterprise,24615,25
ACC-000001,2021-07-01,Enterprise,34920,30
ACC-000001,2021-08-01,Enterprise,64019,40
ACC-000001,2021-09-01,Enterprise,119273,55
ACC-000001,2021-10-01,Enterprise,251715,79
ACC-000001,2021-11-01,Enterprise,238889,77
ACC-000001,2021-12-01,Enterprise,239127,77
ACC-000001,2022-01-01,Enterprise,253662,80
ACC-000001,2022-02-01,Enterprise,245019,78
ACC-000001,2022-03-01,Enterprise,259234,81
ACC-000001,2022-04-01,Enterprise,217100,74
ACC-000001,2022-05-01,Enterprise,210560,73
ACC-000001,2022-06-01,Enterprise,239115,77
ACC-000001,2022-07-01,Enterprise,256686,80
ACC-000001,2022-08-01,Enterprise,274957,83
ACC-000001,2022-09-01,Enterprise,272168,82
ACC-000001,2022-10-01,Enterprise,249365,79
ACC-000001,2022-11-01,Enterprise,299626,87
ACC-000001,2022-12-01,Enterprise,284195,84
ACC-000001,2023-01-01,Enterprise,330547,91
ACC-000001,2023-02-01,Enterprise,275427,83
ACC-000001,2023-03-01,Enterprise,308942,88
ACC-000001,2023-04-01,Enterprise,353178,94
ACC-000001,2023-05-01,Enterprise,275111,83
ACC-000001,2023-06-01,Enterprise,301747,87
ACC-000001,2023-07-01,Enterprise,267173,82
ACC-000001,2023-08-01,Enterprise,327015,90
ACC-000001,2023-09-01,Enterprise,316077,89
ACC-000001,2023-10-01,Enterprise,387826,98
ACC-000001,2023-11-01,Enterprise,368562,96
ACC-000001,2023-12-01,Enterprise,271847,82
ACC-000001,2024-01-01,Enterprise,396869,100
ACC-000001,2024-02-01,Enterprise,330159,91
ACC-000001,2024-03-01,Enterprise,305469,87
ACC-000001,2024-04-01,Enterprise,387454,98
ACC-000001,2024-05-01,Enterprise,409926,101
ACC-000001,2024-06-01,Enterprise,349161,93
ACC-000001,2024-07-01,Enterprise,339653,92
ACC-000001,2024-08-01,Enterprise,342825,93
ACC-000001,2024-09-01,Enterprise,396936,100
ACC-000001,2024-10-01,Enterprise,383944,98
ACC-000001,2024-11-01,Enterprise,382441,98
ACC-000001,2024-12-01,Enterprise,440325,105
ACC-000001,2025-01-01,Enterprise,500478,112
ACC-000001,2025-02-01,Enterprise,426926,103
ACC-000001,2025-03-01,Enterprise,437736,105
ACC-000001,2025-04-01,Enterprise,404500,101
ACC-000001,2025-05-01,Enterprise,371645,96
ACC-000001,2025-06-01,Enterprise,453726,107
ACC-000001,2025-07-01,Enterprise,371919,96
ACC-000001,2025-08-01,Enterprise,466167,108
ACC-000001,2025-09-01,Enterprise,432945,104
ACC-000001,2025-10-01,Enterprise,460524,107
ACC-000001,2025-11-01,Enterprise,548165,117
