rep_id,rep_type,segment,hire_date,book_size
REP-00000,AE,Enterprise,2019-01-12,
REP-00001,ISR,Commercial,2019-02-25,
REP-00002,ISR,Commercial,2019-04-27,
REP-00003,AM-Enterprise,Enterprise,2019-05-23,21.0
REP-00004,SE,Enterprise,2019-06-18,
REP-00005,AM-Commercial,Commercial,2019-07-06,210.0
REP-00006,SE,Enterprise,2019-07-25,
REP-00007,ISR,Commercial,2019-07-25,
REP-00008,ISR,Commercial,2019-10-20,
REP-00009,AE,Enterprise,2019-12-17,
REP-00010,ISR,Commercial,2019-12-26,
REP-00011,AM-Enterprise,Enterprise,2020-02-10,17.0
REP-00012,ISR,Commercial,2020-02-26,
REP-00013,ISR,Commercial,2020-07-20,
REP-00014,ISR,Commercial,2020-09-28,
REP-00015,ISR,Commercial,2020-10-04,
REP-00016,ISR,Commercial,2020-11-02,
REP-00017,AE,Enterprise,2020-11-19,
REP-00018,AM-Commercial,Commercial,2020-11-20,250.0
REP-00019,AE,Enterprise,2021-01-09,
REP-00020,AM-Enterprise,Enterprise,2021-03-23,21.0
REP-00021,ISR,Commercial,2021-04-06,
REP-00022,AE,Enterprise,2021-04-11,
REP-00023,AE,Enterprise,2021-04-19,
REP-00024,AE,Enterprise,2021-07-19,
REP-00025,AM-Enterprise,Enterprise,2021-08-14,16.0
REP-00026,ISR,Commercial,2021-08-29,
REP-00027,AE,Enterprise,2021-09-03,
REP-00028,AM-Enterprise,Enterprise,2021-09-24,19.0
REP-00029,AE,Enterprise,2021-10-20,
REP-00030,SE,Enterprise,2021-10-27,
REP-00031,SE,Enterprise,2022-01-22,
REP-00032,ISR,Commercial,2022-01-27,
REP-00033,AM-Enterprise,Enterprise,2022-02-14,18.0
REP-00034,AE,Enterprise,2022-02-14,
REP-00035,AE,Enterprise,2022-02-23,
REP-00036,AM-Enterprise,Enterprise,2022-03-10,19.0
REP-00037,AE,Enterprise,2022-03-21,
REP-00038,ISR,Commercial,2022-03-22,
REP-00039,AE,Enterprise,2022-05-01,
REP-00040,AE,Enterprise,2022-05-01,
REP-00041,AM-Enterprise,Enterprise,2022-05-14,11.0
REP-00042,AE,Enterprise,2022-06-03,
REP-00043,AE,Enterprise,2022-08-05,
REP-00044,AM-Commercial,Commercial,2023-02-01,221.0
REP-00045,AE,Enterprise,2023-02-22,
REP-00046,AE,Enterprise,2023-02-28,
REP-00047,ISR,Commercial,2023-04-19,
REP-00048,AE,Enterprise,2023-08-03,
REP-00049,ISR,Commercial,2023-08-12,
REP-00050,ISR,Commercial,2023-10-20,
REP-00051,AE,Enterprise,2023-10-23,
REP-00052,SE,Enterprise,2023-11-15,
REP-00053,AM-Enterprise,Enterprise,2023-12-19,24.0
REP-00054,AE,Enterprise,2024-02-09,
REP-00055,AE,Enterprise,2024-03-12,
REP-00056,ISR,Commercial,2024-07-13,
REP-00057,SE,Enterprise,2024-08-04,
REP-00058,AE,Enterprise,2024-08-09,
REP-00059,ISR,Commercial,2024-09-22,
REP-00060,AE,Enterprise,2024-10-26,
REP-00061,AM-Commercial,Commercial,2025-04-03,208.0
REP-00062,SE,Enterprise,2025-04-16,
REP-00063,ISR,Commercial,2025-06-10,
REP-00064,AM-Enterprise,Enterprise,2025-06-21,18.0
REP-00065,AM-Commercial,Commercial,2025-10-05,273.0
REP-00066,SE,Enterprise,2025-10-12,
